dates,website,
2 4 2020,https://www.businessinsider.com/wuhan-coronavirus-china-offering-140-to-report-wuhan-visitors-2020-2,support
2 4 2020,https://www.businessinsider.in/international/news/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/articleshow/73938076.cms,support
2 4 2020,https://www.businessinsider.sg/wuhan-coronavirus-china-offering-140-to-report-wuhan-visitors-2020-2,support
2 18 2020,https://www.insider.com/author/sophia-ankel,support
2 4 2020,http://static-ssl.businessinsider.com/wuhan-coronavirus-china-offering-140-to-report-wuhan-visitors-2020-2,support
2 4 2020,https://www.pulse.com.gh/bi/politics/a-county-in-china-is-offering-people-dollar140-to-tell-on-neighbors-who-have-visited/079jhk4,support
2 4 2020,https://www.businessinsider.de/international/wuhan-coronavirus-china-offering-140-to-report-wuhan-visitors-2020-2/,support
3 5 2020,https://www.businessinsider.com/coronavirus-how-us-china-italy-other-countries-handling-outbreaks-2020-3,support
4 14 2020,https://www.nytimes.com/2020/04/14/world/asia/coronavirus-china-fang-fang-author.html,support
4 4 2020,https://www.wuhanupdate.com/business/a-county-in-china-is-offering-people-140-to-tell-on-neighbours-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus-62046422,support
3 26 2020,https://www.washingtonpost.com/world/2020/03/26/coronavirus-latest-news/,support
3 21 2020,https://www.latimes.com/california/liveblog/coronavirus-live-updates,support
3 1 2020,https://www.paloaltoonline.com/news/2020/03/01/coronavirus-three-new-cases-reported-in-santa-clara-county,support
2 4 2020,https://www.skylistkolhapur.com/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/,support
4 7 2020,https://www.bbc.com/news/world-asia-china-52194356,support
2 10 2020,https://www.cnn.com/2020/02/09/asia/wuhan-coronavirus-update-intl-hnk/index.html,support
2 4 2020,https://www.businessinsider.sg/2020/page/977?r=US&IR=T,support
2 4 2020,https://www.archyde.com/one-county-in-china-offers-people-140-to-tell-neighbors-who-have-visited-wuhan-and-another-threatens-the-death-penalty-for-anyone-who-intentionally-spreads-the-coronavirus/,support
2 5 2020,https://pashionfashion360.blogspot.com/2020/02/a-county-in-china-is-offering-people.html,support
2 5 2020,https://bonpounou.com/news/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus,support
2 6 2020,https://www.pulselive.co.ke/bi/politics/wuhan-is-ordering-all-11-million-residents-to-report-their-body-temperature-every-day/hdk46f2,support
2 5 2020,https://www.pulse.ng/bi/politics/pictures-show-the-first-coronavirus-patients-arriving-at-the-new-wuhan-hospital-china/hfl4kd4,support
2 6 2020,https://www.pulse.ng/bi/politics/the-kremlin-is-checking-the-temperatures-of-putins-media-visitors-amid-coronavirus/88ydh1l,support
2 4 2020,https://www.tekportal.net/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/,support
2 6 2020,https://worldtoday565092943.wordpress.com/2020/02/06/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/,support
2 6 2020,https://worldtoday565092943.wordpress.com/2020/02/06/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus-2/,support
2 11 2020,https://globalnews.ca/news/6535353/china-coronavirus-drones-quarantine/,support
1 21 2020,https://www.scmp.com/yp/discover/news/global/article/3071167/coronavirus-timeline-outbreak-related-deadly-sars,support
10 6 2019,https://currently.att.yahoo.com/news/feature-athletics-lyles-future-union-210013255.html,support
2 4 2020,https://www.latestnigeriannews.com/news/8170970/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-w.html,support
5 9 2020,https://lbpost.com/news/coronavirus-updates,support
3 5 2020,https://www.whio.com/news/national/coronavirus-live-updates-singapore-has-cases-mexico-has-first-cases/3Zgcf1dgrUNVzZA0VVFNdI/,support
5 9 2020,https://lbpost.com/news/coronavirus-updates?update=42,support
2 4 2020,https://bingepost.com/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/17664/,support
2 5 2020,https://www.pulselive.co.ke/bi/politics/pictures-show-the-first-coronavirus-patients-arriving-at-the-new-wuhan-hospital-china/gnsvtm9,support
2 4 2020,https://usa-today-news.com/news/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/,support
2 4 2020,https://www.latestnigeriannews.com/news/8171388/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-w.html,support
2 4 2020,https://objective.press/2020/02/04/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/,support
2 4 2020,https://thecoolture.com/a-county-in-china-is-offering-people-140-to-tell-on-neighbors-who-have-visited-wuhan-and-another-is-threatening-the-death-penalty-to-anyone-deliberately-spreading-the-coronavirus/,support
