dates,website,stance
3 23 2020,https://www.reuters.com/article/us-health-coronavirus-colombia/in-battle-against-coronavirus-colombia-transforms-military-hospital-idUSKBN21A3IT,support
3 6 2020,https://www.bbc.com/news/uk-51768274.com,support
3 6 2020,https://thecitypaperbogota.com/news/colombias-ministry-of-health-confirms-first-case-of-coronavirus-in-bogota/24007,support
3 9 2020,https://thecitypaperbogota.com/news/two-more-cases-of-coronavirus-confirmed-in-colombia/24015,support
4 11 2020,https://thecitypaperbogota.com/news/colombia-covid-19-cases-at-2709-first-doctor-dies-of-virus-in-bogota/24534,support
3 6 2020,https://www.statista.com/statistics/1105142/colombia-covid-19-cases-region/,support
3 6 2020,https://thebogotapost.com/coronavirus-in-colombia-may-7-update/46423/,support
3 6 2020,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Colombia,support
3 9 2020,https://www.aa.com.tr/en/pg/photo-gallery/colombia-military-hospitals-prepare-to-face-the-covid-19/0,support
3 23 2020,https://in.reuters.com/article/us-health-coronavirus-colombia/in-battle-against-coronavirus-colombia-transforms-military-hospital-idINKBN21A3IT,support
