dates,website,stance
3 17 2020,https://www.baltimoresun.com/coronavirus/ct-nw-coronavirus-amazon-warehouse-essentials-20200317-qxaije3vfbdazaozqxrz5rl4r4-story.html,support
3 17 2020,http://komonews.com/news/coronavirus/more-wipes-no-jeans-amazon-limits-warehouse-shipments,support
3 17 2020,https://q13fox.com/2020/03/17/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/,support
3 17 2020,https://www.courant.com/coronavirus/ct-nw-coronavirus-amazon-warehouse-essentials-20200317-qxaije3vfbdazaozqxrz5rl4r4-story.html,support
3 17 2020,https://www.chicagotribune.com/coronavirus/ct-nw-coronavirus-amazon-warehouse-essentials-20200317-qxaije3vfbdazaozqxrz5rl4r4-story.html,support
3 17 2020,https://whyy.org/articles/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/,support
3 17 2020,https://abcnews.go.com/Business/wireStory/wipes-jeans-amazon-limits-shipments-warehouses-69646453,support
3 17 2020,https://www.kusi.com/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses-2/,support
3 17 2020,https://www.abccolumbia.com/2020/03/17/more-wipes-no-jeans-amazon-limits-warehouse-shipments/,support
3 17 2020,https://chatnewstoday.ca/2020/03/17/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/,support
3 17 2020,https://www.phillytrib.com/news/health/coronavirus/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/article_7916db5c-fa72-5ef0-b9de-6695f004daca.html,support
3 17 2020,https://www.surreynowleader.com/business/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/,support
3 17 2020,https://fox6now.com/2020/03/17/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/,support
3 17 2020,https://www.dallasnews.com/business/retail/2020/03/17/amazon-limits-shipments-to-its-warehouses-of-non-essentials-like-clothes-and-phone-cases/,support
3 17 2020,https://www.fox5ny.com/news/amazon-limiting-shipments-to-warehouses-for-next-3-weeks,support
3 17 2020,https://www.beaconjournal.com/business/20200317/amazon-limits-warehouse-shipments-to-essential-supplies,support
None,https://zh-cn.facebook.com/KOMONews/posts/amazon-in-an-attempt-to-fill-its-warehouses-with-toilet-paper-hand-sanitizer-and/3029069863827992/,support
3 17 2020,https://www.record-courier.com/business/20200317/amazon-limits-warehouse-shipments-to-essential-supplies,support
3 17 2020,https://www.wmal.com/2020/03/17/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/,support
3 17 2020,https://www.canadianshipper.com/transportation-and-logistics/more-wipes-no-jeans-amazon-limits-shipments-to-warehouses/1003383027/,support
3 17 2020,https://www.fox29.com/news/amazon-limiting-shipments-to-warehouses-for-next-3-weeks,support
3 17 2020,https://www.cantonrep.com/business/20200317/amazon-limits-warehouse-shipments-to-essential-supplies,support
3 17 2020,https://www.ktvu.com/news/amazon-limiting-shipments-to-warehouses-for-next-3-weeks,support
3 17 2020,http://nbc25news.com/news/coronavirus/more-wipes-no-jeans-amazon-limits-warehouse-shipments-03-17-2020-170718341,support
