dates,website,stance
3 26 2020,https://www.foxnews.com/media/lifetime-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown,support
3 26 2020,https://flipboard.com/@FoxNews/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-d/a-LCyUSMDRQFWV7a_zSxwNxw%3Aa%3A47769551-c22d7c9810%2Ffoxnews.com,support
3 26 2020,https://flipboard.com/article/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-d/a-HAkljBHtQL-kxLY0qJYkxg%3Aa%3A47769551-c22d7c9810%2Ffoxnews.com,support
3 26 2020,https://amp.flipboard.com/@FoxNews/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-d/a-LCyUSMDRQFWV7a_zSxwNxw%3Aa%3A47769551-c22d7c9810%2Ffoxnews.com,support
3 26 2020,https://foxbangor.com/national-news/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
None,https://www.newsbreak.com/news/0OYKhoFQ/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown,support
3 26 2020,https://thetop10news.com/2020/03/26/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,https://namex.co/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,https://www.facebook.com/400059946719365/posts/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-dat/2966782653380402/,support
3 26 2020,https://www.facebook.com/149658925128808/posts/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-dat/2953927944701878/,support
3 26 2020,https://blogger-net.com/us-breaking-news/fox-news-rss-feed/2020/03/26/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,https://www.usmaganews.com/2020/03/26/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for/,support
3 26 2020,https://spectrumreport.com/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,http://www.digital-resource.com/popular/news-urandir-life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown-digital-resource.html,support
3 26 2020,https://voiceofthehwy.news/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,https://thesunbest.com/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,https://usadailyexpress.com/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
3 26 2020,https://theworldnews.net/us-news/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown,support
3 26 2020,https://www.mondialnews.com/2020/03/26/life-time-fitness-ceo-90-percent-of-workforce-will-be-furloughed-without-end-date-for-economic-shutdown/,support
