dates,website,
1 31 2020,https://www.scmp.com/news/world/united-states-canada/article/3048318/china-coronavirus-us-citizen-evacuated-wuhan,support
1 31 2020,https://www.msn.com/en-sg/news/world/china-coronavirus-us-citizen-evacuated-from-wuhan-quarantined-after-trying-to-flee-base/ar-BBZuY7S,support
1 31 2020,https://www.cnn.com/2020/01/30/health/us-coronavirus-thursday/index.html,support
1 30 2020,https://q13fox.com/2020/01/30/an-american-who-was-evacuated-from-wuhan-was-placed-in-coronavirus-quarantine-after-trying-to-flee-california-base/,support
1 31 2020,https://www.mercurynews.com/an-american-who-was-evacuated-from-wuhan-was-placed-in-coronavirus-quarantine-after-trying-to-flee-california-base,support
1 31 2020,https://today.line.me/hk/pc/article/China+coronavirus+US+citizen+evacuated+from+Wuhan+quarantined+after+trying+to+flee+base-pJkYg6,support
1 31 2020,https://www.businessinsider.com/us-passengers-evacuated-wuhan-china-no-coronavirus-2020-1,support
1 30 2020,https://www.nytimes.com/2020/01/30/us/coronavirus-americans-evacuate.html,support
1 31 2020,https://www.nytimes.com/2020/01/31/health/quarantine-coronavirus.html,support
1 30 2020,https://www.latimes.com/california/story/2020-01-30/american-under-coronavirus-quarantine-after-trying-to-leave-california-base,support
