dates,website,
4 27 2020,https://factcheck.afp.com/marisha-goldhamer,deny
3 23 2020,https://factcheck.afp.com/?page=26&rel=outbound,deny
2 19 2020,https://factcheck.afp.com/busting-coronavirus-myths,deny
3 27 2020,https://www.facebook.com/NationalVeteransFoundation.NVF/posts/10158176160999494?comment_id=10158176579134494&reply_comment_id=10158189420994494,deny
3 27 2020,https://www.facebook.com/permalink.php?id=45124624493&story_fbid=10158176160999494,deny
3 27 2020,https://ne-np.facebook.com/NationalVeteransFoundation.NVF/posts/alert-there-is-a-flyer-circulating-that-is-said-to-offer-official-advice-about-t/10158176160999494/,deny
3 27 2020,https://ne-np.facebook.com/NationalVeteransFoundation.NVF/posts/10158176160999494,deny
3 27 2020,https://zh-cn.facebook.com/groups/TheWalkingVeteran/,deny
3 27 2020,https://pl-pl.facebook.com/pages/category/Education/1417348025238150/posts/,deny
3 27 2020,https://feedback.facebook.com/groups/DCVeteransForum/permalink/2839719499438343/,deny
3 27 2020,https://p-upload.latest.facebook.com/groups/230824260340671/permalink/2816987785057626/,deny
3 27 2020,https://feed.easybranches.com/za/health/25464375,deny
3 27 2020,https://www.facebook.com/groups/191310694832331,deny
