dates,website,
1 30 2020,https://www.theguardian.com/world/video/2020/jan/30/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video,support
2 7 2020,https://www.dailymotion.com/video/x7rluc3,support
2 7 2020,https://www.msn.com/ja-jp/news/money/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/ja-jp/money/other/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/zh-hk/news/localnews/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-sg/news/other/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-us/news/politics/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/zh-tw/autos/news/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/es-mx/noticias/mundo/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/es-xl/noticias/otras/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-au/entertainment/celebrity/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-us/news/world/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/zh-tw/news/national/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-us/sports/nhl/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-us/video/news/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-za/news/africa/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-gb/sport/cricket/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/es-ar/noticias/otras/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-gb/health/weight-loss/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/pt-br/video/virais/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-au/video/w/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-gb/news/spotlight/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me/vp-BBZQgDA,support
2 7 2020,https://www.msn.com/en-us/Video/news/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r?ocid=a2hs,support
2 7 2020,https://www.msn.com/es-pe/noticias/otras/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-ca/news/video/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/id-id/otomotif/berita/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/ko-kr/news/national/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/fr-ca/actualites/other/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/es-cl/noticias/otras/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/id-id/berita/other/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-ph/video/news/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/th-th/news/national/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/ko-kr/money/topstories/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vi-BBZL55r,support
2 7 2020,https://www.msn.com/es-ve/noticias/fotos/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 7 2020,https://www.msn.com/en-ca/video/news/british-resident-of-wuhan-government-wont-let-my-wife-leave-with-me-video/vp-BBZL55r,support
2 29 2020,https://watch.thewest.com.au/show/214543,support
2 7 2020,https://video.news24.com/show/214543,support
1 30 2020,https://www.theguardian.com/world/china/2020/jan/30/all,support
1 30 2020,https://www.theguardian.com/world/coronavirus-outbreak/2020/jan/30/all,support
1 30 2020,https://www.theguardian.com/profile/monika-cvorak,support
1 30 2020,https://www.theguardian.com/profile/christopher-cherry,support
1 31 2020,https://flipboard.com/@TheGuardian/british-resident-of-wuhan-government-won-t-let-my-wife-leave-with-me---video/f-e62a06ef37%2Ftheguardian.com,support
1 31 2020,https://uk.news.yahoo.com/british-resident-wuhan-government-wont-172338320.html,support
2 8 2020,https://www.msn.com/ja-jp/news/other/brazil-proposes-bill-to-open-up-land-to-extraction-projects/vp-BBZLaLl,support
2 2 2020,https://www.theguardian.com/type/video+tone/news?page=2,support
2 3 2020,https://www.theguardian.com/uk/uk+content/video?page=3,support
1 30 2020,https://www.theguardian.com/tone/news/2020/jan/30/all,support
2 10 2020,https://www.onenewspage.com/video/20200210/12708273/British-resident-of-Wuhan-Government-won.htm,support
2 7 2020,https://www.onenewspage.com/video/20200207/12701932/British-resident-of-Wuhan-Government-won.htm,support
