dates,website
3 26 2020,https://www.msn.com/en-us/news/videos/rep-mccaul-says-front-line-health-care-workers-are-biggest-priority-in-dollar2t-relief-bill/vp-BB11KuJ9
None,https://www.msn.com/en-ca/news/newspolitics/house-republican-calls-for-investigation-into-china-and-whos-handling-of-coronavirus/ar-BB13lzwx
4 16 2020,https://www.foxnews.com/media/michael-mccaul-china-coronavirus-worst-cover-up
4 10 2020,https://www.foxnews.com/politics/mccaul-says-china-who-are-co-conspirators-in-coronavirus-coverup
None,https://local12.com/news/nation-world/is-congress-essential-senate-to-reconvene-monday-house-not-taking-the-risk
3 23 2020,https://www.ft.com/content/f96ada9f-bd2a-39a7-8b59-c4170f5a1101
4 16 2020,https://www.ft.com/content/d62c92ee-3aaa-39a8-90de-4cf4904847c4
4 17 2020,https://khn.org/morning-briefing/friday-april-17-2020/
4 15 2020,http://wjla.com/news/nation-world/is-congress-essential-senate-to-reconvene-monday-house-not-taking-the-risk
None,https://fox17.com/news/nation-world/is-congress-essential-senate-to-reconvene-monday-house-not-taking-the-risk
