dates,website,
1 28 2020,https://globalnews.ca/news/6473048/bc-coronavirus-update-tuesday-jan-28/,support
3 2 2020,https://globalnews.ca/news/6617581/coronavirus-cases-canada-timeline/,support
3 3 2020,https://globalnews.ca/news/6627505/coronavirus-covid-canada-timeline/,support
3 8 2020,https://globalnews.ca/news/6647369/coronavirus-alberta-bc-connection/,support
3 14 2020,https://globalnews.ca/news/6677701/bc-coronavirus-update-march-14/,support
1 28 2020,https://bc.ctvnews.ca/b-c-confirms-province-s-first-presumptive-positive-case-of-new-coronavirus-1.4786706,support
1 28 2020,https://bc.ctvnews.ca/first-presumptive-case-of-novel-coronavirus-detected-in-b-c-here-s-what-you-need-to-know-1.4787384,support
1 29 2020,https://bc.ctvnews.ca/b-c-s-first-case-of-novel-coronavirus-confirmed-after-additional-testing-1.4789685,support
1 28 2020,https://bc.ctvnews.ca/mobile/b-c-confirms-province-s-first-presumptive-positive-case-of-new-coronavirus-1.4786706?cache=?clipId=89750,support
3 11 2020,https://www.timescolonist.com/covid-19/first-presumptive-case-of-coronavirus-reported-on-vancouver-island-1.24095723,support
