dates,website,
2 7 2020,https://time.com/5779678/li-wenliang-coronavirus-china-doctor-death/,support
2 6 2020,https://abcnews.go.com/International/doctor-sounded-alarm-coronavirus-death-chinese-hospital/story?id=68803847,support
2 6 2020,https://www.npr.org/2020/02/06/803520963/chinese-doctor-who-sounded-early-warning-about-coronavirus-dies-after-contractin,support
2 6 2020,https://whdh.com/news/chinese-doctor-who-sounded-alarm-on-coronavirus-has-died/,support
2 6 2020,https://www.pbs.org/newshour/health/chinese-doctor-who-sounded-the-alarm-about-the-novel-coronavirus-dies,support
2 6 2020,https://apnews.com/905489d29a3d4f8788f17a40003548a0,support
2 6 2020,https://www.aljazeera.com/news/2020/02/chinese-doctor-sounded-alarm-wuhan-coronavirus-dies-200207004935274.html,support
2 6 2020,https://www.mercurynews.com/chinese-doctor-who-sounded-the-alarm-on-the-wuhan-coronavirus-has-died,support
2 6 2020,https://nypost.com/2020/02/06/li-wenliang-chinese-doctor-who-sounded-alarm-on-coronavirus-dead-from-disease-at-34/,support
2 6 2020,https://www.latimes.com/world-nation/story/2020-02-06/chinese-doctor-warned-of-coronavirus-outbreak-dies,support
