dates,website,
3 27 2020,https://www.cnn.com/2020/03/27/us/california-los-angeles-new-york-coronavirus/index.html,support
3 27 2020,https://www.kdrv.com/content/news/569154502.html,support
3 27 2020,https://sacramento.cbslocal.com/2020/03/27/california-cities-could-see-coronavirus-outbreaks-as-bad-as-nyc-officials-say/,support
3 27 2020,https://www.msn.com/en-us/news/us/california-cities-could-see-coronavirus-outbreaks-as-bad-as-new-york-city-officials-say/ar-BB11MQGE,support
3 27 2020,https://www.foxcarolina.com/california-cities-could-see-coronavirus-outbreaks-as-bad-as-new-york-city-officials-say/article_5e8978e0-f184-5865-9d6f-40760e489735.html,support
4 28 2020,https://laist.com/2020/04/28/coronavirus-covid19-los-angeles-guide-rules-closures-tips-advice.php,support
3 27 2020,https://lite.cnn.com/en/article/h_db20772e64fab7d12d454796a75c179d,support
3 27 2020,https://www.latimes.com/california/liveblog/coronavirus-live-updates-thursday-march-26,support
3 21 2020,https://www.latimes.com/california/liveblog/coronavirus-live-updates,support
4 15 2020,https://abc7news.com/los-angeles-sports-gatherings-mayor-eric-garcetti-covid-19/6106320/,support
4 19 2020,https://www.latimes.com/california/story/2020-04-19/garcetti-state-of-city-la-address-coronavirus,support
4 20 2020,https://www.latimes.com/california/story/2020-04-20/coronavirus-garcetti-budget-story-2020-2021-furloughs-cuts,support
4 19 2020,https://www.nbclosangeles.com/news/local/mayor-garcetti-delivers-state-of-the-city/2348724/,support
3 26 2020,https://www.businessinsider.com/covid-19-la-mayor-eric-garcetti-says-city-is-not-ready-2020-3,support
4 14 2020,https://abc7.com/coronavirus-in-los-angeles-update-la-county-patient/6104747/,support
,,
