dates,website,stance
3 27 2020,https://ar-ar.facebook.com/FoxNews/posts/10159192973021336,support
3 26 2020,https://foxbangor.com/national-news/nypd-announces-first-staff-member-to-die-of-coronavirus/,support
3 27 2020,https://www.facebook.com/permalink.php?id=15704546335&story_fbid=10159192973021336,support
3 27 2020,https://www.facebook.com/permalink.php?id=353780425196843&story_fbid=669720163602866,support
3 27 2020,https://rifnote.com/blog/nypd-announces-first-staff-member-to-die-of-coronavirus/,support
3 27 2020,https://www.facebook.com/InfectionPrevention/,support
None,https://newscommentarypodcast.com/nypd-announces-first-staff-member-to-die-of-coronavirus/,support
3 27 2020,https://scooprocket.com/2020/03/26/nypd-announces-first-staff-member-to-die-of-coronavirus/,support
3 26 2020,https://syfeed.com/en/news-details/nypd-announces-first-staff-member-to-die-of-coronavirus_29467457.html,support
3 27 2020,https://syfeed.com/en-us/news-details/nypd-announces-first-staff-member-to-die-of-coronavirus_29467457.html,support
3 26 2020,https://m.onenewspage.us/n/US/1zlqy76hwz/NYPD-announces-first-staff-member-to-die-of.htm,support
3 26 2020,https://www.news60.eu/nypd-announces-first-staff-member-to-die-of-coronavirus,support
