dates,website
None,https://www.msn.com/en-sg/news/world/coronavirus-finally-has-a-name-world-health-chiefs-label-the-deadly-sars-like-disease-covid-19-six-weeks-after-the-outbreak-that-has-killed-more-than-1000-people-began/ar-BBZSVMH
chlorine solution Weak,"https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html#:~:text=There%20is%20currently%20no%20vaccine,%2Dto%2Dperson."
2 11 2020,https://www.dailymail.co.uk/health/article-7991669/COVID-19-World-Health-Organization-finally-names-deadly-SARS-like-coronavirus.html
None,https://www.bbc.com/news/world-asia-china-51466362
2 11 2020,https://www.aljazeera.com/news/2020/02/covid-19-renames-deadly-coronavirus-200211172638418.html
None,https://www.pharmaceutical-technology.com/news/coronavirus-a-timeline-of-how-the-deadly-outbreak-evolved/
2 11 2020,https://www.healthpolicy-watch.org/new-coronavirus-has-a-name-covid-19-but-as-who-convenes-global-research-forum-many-other-unknowns-remain/
2 11 2020,https://internewscast.com/covid-19-world-health-organization-finally-names-deadly-sars-like-coronavirus/
None,https://ourworldindata.org/coronavirus
2 20 2020,https://www.kiro7.com/news/trending/coronavirus-death-toll-surpasses-900-china-40000-people-diagnosed-with-virus/6BRH3OXSTNDFLH45ISECVBSWF4/
None,https://www.voanews.com/covid-19-pandemic/60-minutes-correspondent-stahl-says-she-fought-coronavirus
