dates,website,stance
2 5 2020,https://www.youtube.com/watch?v=XkW188RjcHQ&list=PLrbGky8XSVFggc8LhFtukoKJ-uPsk7HMx&index=983,support
12 20 2019,https://ne-np.facebook.com/arirangtvnews/videos/483167465942470/,support
2 10 2020,https://www.youtube.com/watch?v=YYOVKlbIN0E&list=PLhvdUQn_gsdp7-CrVL_fFWYMJzEh1-obo&index=48&t=0s,support
2 10 2020,https://www.youtube.com/watch?v=HI8822sIz3U&list=PLrbGky8XSVFggc8LhFtukoKJ-uPsk7HMx&index=47,support
2 5 2020,https://www.youtube.com/watch?v=XkW188RjcHQ,support
2 5 2020,https://www.facebook.com/arirangtvnews/videos/2657017987686060/,support
2 5 2020,https://www.youtube.com/watch?v=y09ijCB2y8Y&list=PLrbGky8XSVFggc8LhFtukoKJ-uPsk7HMx&index=33,support
2 5 2020,https://ne-np.facebook.com/arirangtvnews/videos/s-korea-confirms-19th-coronavirus-patient/2657017987686060/,support
2 5 2020,https://newsvideo.su/video/12189487,support
2 5 2020,https://www.youtube.com/watch?v=MJvBdLqYvY8&list=PLrbGky8XSVFgmZwxz0_mSLJsw8IePHG1I&index=3&t=0s,support
2 5 2020,https://ne-np.facebook.com/arirangtvnews/videos/201849337633499/,support
2 5 2020,https://ms-my.facebook.com/arirangtvnews/videos/642897819786878/,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5355310,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5351488,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5355311,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5351569,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5351525,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5351529,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5351561,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5355309,support
2 5 2020,https://phuketnews.easybranches.com/south-korea/5351527,support
2 5 2020,https://vladtepesblog.com/2020/02/05/readers-links-for-february-5-2020/comment-page-1/,support
2 6 2020,https://ne-np.facebook.com/arirangtvnews/videos/2657017987686060/,support
2 6 2020,https://www.youtube.com/watch?v=YNlKC93Z5LI&list=PLhvdUQn_gsdp7-CrVL_fFWYMJzEh1-obo&index=68&t=0s,support
2 7 2020,https://www.youtube.com/watch?v=nilpFvf7kh8&list=PLrbGky8XSVFgmZwxz0_mSLJsw8IePHG1I&index=96,support
2 9 2020,https://www.youtube.com/watch?v=MxXixBKkM2w&list=PLPw-gY7n2-n_-771eMzG_2-MGg6PWYWeF&index=26,support
2 5 2020,https://hipnplay.com/en/download/s-korea-confirms-19th-coronavirus-patient-LS1Ya1cxODhSamNIUQ,support
2 5 2020,https://www.supernewsworld.com/S-Korea-Confirms-19th-Coronavirus-Patient-11130277.html,support
2 5 2020,https://ultratube.ru/watch/S.-Korea-confirms-19th-coronavirus-patient/,support
2 5 2020,https://lokakjambi.com/kanti/s-korea-confirms-19th-coronavirus-patient/l4p,support
