dates,website
3 3 2013,https://www.lisbethcalandrino.com/2013/03/03/no-you-cant-use-the-bathroom-how-does-this-help-your-business/comment-page-1/
3 9 2010,https://www.lostlaowai.com/blog/expat-stuff/china-expat-advice/the-womens-bathroom-in-china-the-honest-truth-about-chinese-toilets/
None,https://www.quora.com/What-is-your-worst-bathroom-emergency-story
None,https://www.quora.com/Which-restroom-should-a-single-dad-go-to-if-his-4-year-old-daughter-needs-to-pee
None,https://www.quora.com/Have-you-ever-had-to-use-the-restroom-at-the-worst-time
2 18 2015,https://www.dailymail.co.uk/news/article-2957976/Why-stop-going-bathroom-drinks-science-breaking-seal-explained.html
7 23 2012,https://www.dailymail.co.uk/health/article-2177920/When-weak-bladder-telltale-sign-ovarian-cancer.html
None,https://humansoftumblr.com/people-talk-about-the-strangest-and-funniest-things-that-theyve-encountered-in-public-bathrooms/
None,"https://books.google.com/books?id=QesCAAAAMBAJ&pg=PA130&lpg=PA130&dq=When+I+was+in+China,+I+stopped+by+a+shopping+mall+while+walking+to+find+a+restroom+because+I+needed+to+pee.+As+I+was+rushing+into+the+mall,+a+mother+was+rushing+OUTSIDE+holding+her+kid,+then+proceeded+to+take+his+pants+off+at+which+point+the+kid+PEED.+OUTSIDE&source=bl&ots=iXNmFy5IFf&sig=ACfU3U3h4ZwJKwGsKwKiCpuBE8edLhN8oQ&hl=zh-CN&sa=X&ved=2ahUKEwjIk86nn5rpAhX-CTQIHWL2D_IQ6AEwCHoECAoQAQ"
None,http://www.greatdreams.com/bathroom.htm
