dates,website,
1 31 2020,https://www.reuters.com/article/us-china-health-facebook/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-idUSKBN1ZV388,support
1 31 2020,https://www.cnbc.com/2020/01/31/reuters-america-update-1-as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts.html,support
1 31 2020,https://cn.reuters.com/article/china-health-facebook/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-idINKBN1ZU0XB,support
1 31 2020,https://de.reuters.com/article/china-health-facebook/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-idINKBN1ZU0XB,support
1 31 2020,https://de.reuters.com/article/china-health-facebook/update-1-as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-idUKL1N2A018J,support
1 31 2020,https://de.reuters.com/article/china-health-facebook/update-1-as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-idUSL1N2A018J,support
1 31 2020,https://de.reuters.com/article/china-health-facebook/update-1-as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-idINL1N2A018J,support
2 1 2020,https://www.thejakartapost.com/life/2020/02/01/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts.html,support
2 1 2020,https://www.channelnewsasia.com/news/business/as-coronavirus-misinformation-spreads-on-social-media--facebook-removes-posts-12376798,support
4 20 2020,https://thewire.in/economy/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts,support
2 3 2020,https://www.firstpost.com/tech/news-analysis/facebook-to-take-down-posts-spreading-false-information-about-the-coronavirus-epidemic-7986701.html,support
2 3 2020,http://www.businessworld.in/article/As-Coronavirus-Misinformation-Spreads-On-Social-Media-Facebook-Removes-Posts/03-02-2020-183354,support
2 1 2020,https://thewire.in/media/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts,support
2 3 2020,https://www.deccanchronicle.com/technology/in-other-news/030220/as-coronavirus-misinformation-spreads-on-social-media-facebook-remove.html,support
2 1 2020,https://science.thewire.in/culture/media/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/,support
1 31 2020,https://in.finance.yahoo.com/news/facebook-remove-coronavirus-misinformation-declares-085036494.html,support
1 31 2020,https://business.financialpost.com/pmn/business-pmn/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts,support
2 1 2020,https://edmontonjournal.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/695ff74a-4522-47ca-8b70-4dd9bd96b1a7/,support
2 1 2020,https://edmontonjournal.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/97b0cc78-324b-4b9e-9b0e-de9022094f48/,support
2 1 2020,https://gadgets.ndtv.com/social-networking/news/coronavirus-outbreak-as-misinformation-spreads-on-social-media-facebook-removes-posts-2172977,support
2 2 2020,https://english.manoramaonline.com/news/world/2020/02/02/social-media-platform-facebook-coronavirus-misinformation-spreads.html,support
2 4 2020,https://khn.org/morning-breakout/will-coronavirus-snowball-into-a-pandemic-some-optimistic-it-can-be-avoided-but-others-arent-so-sure/,support
2 1 2020,https://www.moneycontrol.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-4889591.html,support
2 1 2020,https://www.jpost.com/international/facebook-removes-posts-with-coronavirus-misinformation-616143,support
2 1 2020,https://leaderpost.com/pmn/business-pmn/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/40033e3f-0073-43c9-a1b5-6e125fe6db11/,support
2 1 2020,https://beta.canada.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/97b0cc78-324b-4b9e-9b0e-de9022094f48/,support
2 1 2020,https://ottawacitizen.com/pmn/business-pmn/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/40033e3f-0073-43c9-a1b5-6e125fe6db11/,support
1 31 2020,https://lfpress.com/pmn/business-pmn/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/40033e3f-0073-43c9-a1b5-6e125fe6db11,support
2 1 2020,http://www.trust.org/item/20200201000721-vanvq/,support
2 1 2020,https://leaderpost.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/97b0cc78-324b-4b9e-9b0e-de9022094f48/,support
2 1 2020,https://www.jpost.com/breaking-news/as-coronavirus-misinformation-spreads-facebook-removes-posts-616110,support
2 1 2020,https://www.compuserve.com/news/story/0002/20200201/KBN1ZV388_1,support
1 31 2020,https://ottawacitizen.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/97b0cc78-324b-4b9e-9b0e-de9022094f48,support
2 1 2020,https://apa.az/en/politics_of_azerbaijan/As-coronavirus-misinformation-spreads-on-social-media-Facebook-removes-posts-310815,support
2 1 2020,https://tuoitrenews.vn/news/international/20200201/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/52808.html,support
1 31 2020,https://lfpress.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/97b0cc78-324b-4b9e-9b0e-de9022094f48,support
1 31 2020,https://canoe.com/news/world/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts,support
2 1 2020,https://www.cnbctv18.com/healthcare/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-5179011.htm,support
2 3 2020,https://1businessworld.com/2020/02/business-news-india/03-02-2020-183354/,support
2 1 2020,https://today.line.me/id/pc/article/As+coronavirus+misinformation+spreads+on+social+media+Facebook+removes+posts-zn8l5j,support
2 1 2020,https://www.britishherald.com/facebook-removes-posts-spreading-social-media-coronavirus-misinformation/,support
2 3 2020,https://www.asianage.com/technology/in-other-news/030220/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts.html,support
2 1 2020,https://www.businessinsider.com/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts-2020-2,support
2 4 2020,https://dunyanews.tv/en/FakeNews/531052-Facebook-removes-posts-as-coronavirus-misinformation-spreads-on-social-m,support
2 1 2020,https://en.banglatribune.com/tech-and-gadget/news/90080/Facebook-to-ban-posts-about-fake-coronavirus-cures,support
2 1 2020,https://lfpress.com/pmn/business-pmn/as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts/wcm/40033e3f-0073-43c9-a1b5-6e125fe6db11/,support
2 1 2020,https://www.samoanews.com/regional/coronavirus-misinformation-spreads-social-media-facebook-removes-posts,support
1 31 2020,https://www.todayonline.com/world/update-1-coronavirus-misinformation-spreads-social-media-facebook-removes-posts,support
2 3 2020,https://www.mvariety.com/cnmi-local/73-local/1373-as-coronavirus-misinformation-spreads-on-social-media-facebook-removes-posts,support
