dates,website,
3 24 2020,https://www.cnn.com/2020/03/23/business/3m-ceo-n95-masks-target/index.html,support
,,
3 26 2020,https://www.cnbc.com/2020/03/26/coronavirus-retailers-make-masksgowns-for-healthcare-workers.html,support
4 5 2020,https://www.nytimes.com/article/coronavirus-N95-mask-DIY-face-mask-health.html,support
5 5 2020,https://www.nytimes.com/2020/05/05/us/coronavirus-live-news.html,support
3 21 2020,https://www.nytimes.com/2020/03/21/business/coronavirus-masks-hanes-trump.html,support
2 29 2020,https://www.nytimes.com/2020/02/29/health/coronavirus-n95-face-masks.html,support
4 10 2020,https://abc7news.com/mask-masks-face-c.d.c/6076398/,support
4 16 2020,https://www.statnews.com/2020/04/16/n95-masks-training-needed-protect-against-covid-19/,support
4 23 2020,https://www.meti.go.jp/english/covid-19/mask.html,support
3 20 2020,https://www.vox.com/the-goods/2020/3/20/21188369/face-masks-short-supply-coronavirus-donations,support
