dates,website,stance
3 17 2020,https://twitter.com/CyberGoGiver/status/1240038484209020930,support
3 17 2020,https://roselawgroupreporter.com/2020/03/good-news-in-todays-coronavirus-headlines/,support
None,https://www.roselawgroup.com/good-news-in-todays-coronavirus-headlines/,support
3 19 2020,https://www.snopes.com/fact-check/covid-good-news-list-accurate/,support
3 19 2020,https://m.facebook.com/thenandoparrado/posts/3282106251804218,support
None,https://www.2st.com.au/news/coronavirus-updates/145088-coronavirus-heres-the-good-news,support
3 30 2020,https://fullfact.org/online/good-news-coronavirus/,support
3 19 2020,https://www.2ec.com.au/social-media-news/99191-coronavirus-heres-the-good-news,support
3 19 2020,https://www.2nm.com.au/social-media-news/95169-coronavirus-heres-the-good-news,support
3 19 2020,https://www.magic931.com.au/sharenews/95250-coronavirus-heres-the-good-news,support
3 19 2020,https://lafm.com.au/social-media-news/102527-coronavirus-heres-the-good-news,support
3 19 2020,https://www.wavefm.com.au/news/coronavirus-update/150844-coronavirus-heres-the-good-news,support
3 19 2020,https://www.powerfmbegabay.com.au/social-media-news/99290-coronavirus-heres-the-good-news,support
3 19 2020,https://lafm.com.au/news/coronavirus-updates/102528-coronavirus-heres-the-good-news,support
3 19 2020,https://www.magic899.com.au/sharenews/96627-coronavirus-heres-the-good-news,support
3 19 2020,https://www.hitz939.com.au/national-news-social/146211-coronavirus-heres-the-good-news,support
3 19 2020,https://www.7ad.com.au/news/coronavirus-updates/101012-coronavirus-heres-the-good-news,support
3 24 2020,https://www.magic931.com.au/shows/chris/the-latest-from-chris/95480-some-good-news-about-covid-19,support
3 18 2020,https://www.republicworld.com/entertainment-news/bollywood-news/vidya-balan-shares-some-good-news-amidst-the-coronavirus-scare.html,support
3 19 2020,https://www.5cc.com.au/sharenews/93474-coronavirus-heres-the-good-news,support
3 19 2020,https://www.981powerfm.com.au/social-media-news/98573-coronavirus-heres-the-good-news,support
