dates,website,
3 17 2020,https://www.poynter.org/?ifcn_misinformation=novel-coronavirus-can-be-eliminated-by-drinking-lots-of-water-and-gargling-with-warm-water-mixed-with-salt-or-vinegar,deny
3 17 2020,https://www.indiatoday.in/fact-check/story/fact-check-no-gargling-with-warm-salt-water-can-t-save-you-from-coronavirus-1656600-2020-03-17,deny
3 16 2020,https://www.politifact.com/factchecks/2020/mar/16/viral-image/gargling-salt-water-can-ease-sore-throat-it-wont-k/,deny
3 18 2020,https://www.wlwt.com/article/fact-check-gargling-water-with-salt-or-vinegar-wont-eliminate-the-coronavirus/31688786,deny
3 14 2020,https://www.snopes.com/fact-check/gargling-eliminate-coronavirus/,deny
3 14 2020,https://factcheck.afp.com/gargling-warm-salt-water-or-vinegar-does-not-prevent-coronavirus-infection-health-experts-say,deny
3 17 2020,https://www.reuters.com/article/uk-factcheck-coronavirus-salt-vinegar/claim-gargling-with-warm-water-and-salt-or-vinegar-will-kill-the-coronavirus-idUSKBN2142MW,deny
3 14 2020,https://www.rappler.com/newsbreak/fact-check/254504-gargling-salt-water-eliminates-coronavirus,deny
3 16 2020,https://www.factcheck.org/2020/03/gargling-water-with-salt-wont-eliminate-coronavirus/,deny
3 18 2020,https://www.nytimes.com/2020/03/18/health/coronavirus-cure-gargle-water.html,deny
