dates,website,
2 11 2020,https://www.financialexpress.com/economy/coronavirus-outbreak-could-disrupt-supply-chains-in-mid-term-ind-ra/1864792/,support
2 11 2020,https://auto.economictimes.indiatimes.com/news/industry/coronavirus-outbreak-could-disrupt-supply-chains-in-mid-term-ind-ra/74084918,support
2 11 2020,https://www.business-standard.com/article/pti-stories/coronavirus-outbreak-could-disrupt-supply-chains-in-mid-term-ind-ra-120021101399_1.html,support
2 11 2020,https://www.outlookindia.com/newsscroll/coronavirus-outbreak-could-disrupt-supply-chains-in-midterm-indra/1731664,support
2 11 2020,https://auto-stage.economictimes.indiatimes.com/news/industry/coronavirus-outbreak-could-disrupt-supply-chains-in-mid-term-ind-ra/74084918,support
2 12 2020,https://www.cmie.com/kommon/bin/sr.php?kall=warticle&dt=2020-02-12%2014:25:31&msec=116,support
2 12 2020,https://www.cmie.com/kommon/bin/sr.php?kall=warticle&dt=2020-02-12%2014:25:31&msec=116&ver=pf,support
2 11 2020,https://auto-v2-stage.economictimes.indiatimes.com/news/industry/coronavirus-outbreak-could-disrupt-supply-chains-in-mid-term-ind-ra/74084918,support
2 11 2020,https://auto-v1-stage.economictimes.indiatimes.com/news/industry/74084918,support
2 11 2020,https://www.devdiscourse.com/article/business/870386-coronavirus-outbreak-could-disrupt-supply-chains-in-mid-term-ind-ra,support
2 19 2020,https://www.business-standard.com/article/news-ani/coronavirus-weakens-demand-disrupts-supply-chains-for-china-s-manufacturing-120021900341_1.html,support
2 19 2020,https://www.business-standard.com/article/pti-stories/indian-auto-industry-to-be-negatively-impacted-supply-chain-disrupted-if-coronavirus-persists-icra-120021900828_1.html,support
3 11 2020,https://www.business-standard.com/article/pti-stories/coronavirus-bmw-india-says-supply-chain-sorted-till-june-120031100365_1.html,support
3 13 2020,https://www.business-standard.com/article/pti-stories/coronavirus-blue-star-sees-no-disruption-to-supply-chain-in-short-term-120031301412_1.html,support
