dates,website,stance
3 25 2020,https://www.foxnews.com/entertainment/tony-awards-postponed,support
3 25 2020,https://www.msn.com/en-us/tv/awards/tony-awards-postponed-amid-coronavirus-pandemic/ar-BB11HSvJ,support
3 25 2020,https://flipboard.com/article/tony-awards-postponed-amid-coronavirus-pandemic/a-_SBRXvxTQp-yYDVnzNh6Nw%3Aa%3A47769551-14e3310147%2Ffoxnews.com,support
3 25 2020,https://flipboard.com/@foxnews/entertainment-0erj2u44z/tony-awards-postponed-amid-coronavirus-pandemic/a-dDnixxzrSTOe1SW-EBJTYA%3Aa%3A47769551-14e3310147%2Ffoxnews.com,support
3 25 2020,https://amp.flipboard.com/@FoxNews/tony-awards-postponed-amid-coronavirus-pandemic/a-dDnixxzrSTOe1SW-EBJTYA%3Aa%3A47769551-14e3310147%2Ffoxnews.com,support
3 25 2020,https://foxbangor.com/national-news/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 26 2020,https://www.facebook.com/permalink.php?id=258098731404453&story_fbid=634154107132245,support
3 25 2020,https://trueredamerican.com/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,http://trueredamerican.com/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,https://www.thenewscommenter.com/news/tony-awards-postponed-amid-coronavirus-pandemic/1291248,support
3 25 2020,https://breakingnewssubmit.com/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,https://villaricanews.com/2020/03/25/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,http://coronavirus-news.me/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,https://www.mnnofa.com/2020/03/25/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,https://www.onenewspage.com/n/Entertainment/1zlqy75zkr/Tony-Awards-postponed-amid-coronavirus-pandemic.htm,support
3 25 2020,http://www.bnystys.com/entertainment/tony-awards-postponed.amp,support
3 25 2020,https://voiceofthehwy.news/tony-awards-postponed-amid-coronavirus-pandemic/,support
3 25 2020,https://www.newsunited.com/tony-awards-postponed-amid-news/35804803/,support
3 25 2020,http://bihonews.com/tony-awards-postponed-amid-coronavirus-pandemic/,support
