dates,website,
3 25 2020,https://www.wiov.com/news/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight/,support
3 25 2020,https://www.koamnewsnow.com/i/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight/,support
,,
,,
,,
,,
3 25 2020,https://www.channel3000.com/i/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight/,support
,,
,,
3 25 2020,https://www.newsbreak.com/news/0OXVhCts/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight,support
,,
,,
,,
,,
,,
,,
3 25 2020,https://www.yaktrinews.com/i/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight/,support
,,
,,
3 25 2020,https://www.crossroadstoday.com/i/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight/,support
,,
3 25 2020,https://www.kxly.com/i/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight/,support
3 25 2020,https://www.newsbreak.com/news/0OXVotAI/trump-says-us-could-return-to-normal-by-easter-health-officials-and-state-leaders-are-gearing-up-for-a-longer-fight,support
3 25 2020,https://www.newsbreak.com/news/0OXTjrZr/coronavirus-2-trillion-aid-deal-reached-by-white-house-legislators,support
2 22 2020,https://www.newsbreak.com/news/0LD5KQth/alabama-woman-who-joined-islamic-state-sues-to-return-to-us?s=oldSite&ss=fb.725642150906974,support
,,
4 12 2020,https://ne-np.facebook.com/KRDONewsChannel13/posts/im-hopeful-to-have-americans-working-by-that-easter-that-beautiful-easter-day-pr/3199686136748712/,support
