dates,website,
2 5 2020,https://www.businessinsider.com/how-china-managed-build-entirely-new-hospital-in-10-days-2020-2,support
2 3 2020,http://static2.businessinsider.com/how-china-managed-build-entirely-new-hospital-in-10-days-2020-2,support
2 5 2020,http://static-ssl.businessinsider.com/how-china-managed-build-entirely-new-hospital-in-10-days-2020-2,support
2 5 2020,http://static5.businessinsider.com/how-china-managed-build-entirely-new-hospital-in-10-days-2020-2,support
2 27 2020,https://ne-np.facebook.com/SprinkleBit/videos/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-checkout-this-ama/1055721201451606/?__so__=permalink&__rv__=related_videos,support
2 5 2020,http://images.markets.businessinsider.com/how-china-managed-build-entirely-new-hospital-in-10-days-2020-2,support
2 5 2020,https://bioreports.net/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider/,support
2 6 2020,https://reported.co.nz/2020/02/06/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider/,support
2 5 2020,https://flipboard.com/@BusinessInsider/how-china-managed-to-build-an-entirely-new-hospital-in-10-days---business-inside/a-wmXxN4LQTNqH0dAZ2HN8rg%3Aa%3A1435578849-9350de4d77%2Fbusinessinsider.com,support
2 5 2020,https://iinvest.ps/iinvest/index.php/2020/02/05/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider/,support
4 21 2020,https://wuhanupdate.com/construction/chinese-wuhan-hospital-construction-2288642,support
4 20 2020,https://wuhanupdate.com/china/hospital-construction-live-in-china-6426628,support
4 21 2020,https://www.wuhanupdate.com/china/wuhan-building-china-4240624,support
2 3 2020,https://bioreports.net/chinas-coronavirus-hospital-built-in-10-days-opens-its-doors-state-media-says/,support
2 13 2020,https://bioreports.net/wuhan-coronavirus-hospitals-finished-in-12-days-not-yet-at-capacity-business-insider/,support
4 20 2020,https://wuhanupdate.com/live/wuhan-new-hospital-live-8860048,support
2 27 2020,https://upload.latest.facebook.com/SprinkleBit/videos/1055721201451606/,support
2 5 2020,https://headtopics.com/us/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider-11102494,support
2 5 2020,https://amp.flipboard.com/@ravenwolf2015/emergency-management-ka10oqngz/how-china-managed-to-build-an-entirely-new-hospital-in-10-days---business-inside/a-u6PkeIuhQ8WAvyDgI3YwSA%3Aa%3A446587339-9350de4d77%2Fbusinessinsider.com,support
2 5 2020,https://cspac.com/2020/02/05/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider/,support
2 5 2020,https://511host.com/2020/02/05/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider/,support
2 5 2020,https://bioreports.net/in-quarantined-wuhan-hospital-beds-for-coronavirus-patients-are-scarce-npr/,support
2 28 2020,https://upload.latest.facebook.com/SprinkleBit/videos/192996662012258/,support
2 25 2020,https://upload.latest.facebook.com/SprinkleBit/videos/663269037777902/,support
2 5 2020,https://www.newswirenow.com/2020/02/05/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider/,support
2 5 2020,https://www.newswirenow.com/2020/02/05/how-china-managed-to-build-an-entirely-new-hospital-in-10-days-business-insider-2/,support
2 5 2020,https://channel411news.com/2020/02/05/,support
2 17 2020,https://colouringmermaid.blogspot.com/2020/02/chinese-hospital-built-for-corona-virus.html,support
1 30 2020,https://channel411news.com/2020/01/30/we-do-not-want-to-risk-our-lives-amid-coronavirus-scares-colleges-try-to-keep-healthy-calm/,support
2 6 2020,https://headtopics.com/us/russ-kesha-and-louis-tomlinson-on-course-for-top-10-debuts-on-billboard-200-albums-chart-11135866,support
