dates,website
None,https://www.ncbi.nlm.nih.gov/gene/59272
None,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1287568/
3 30 2020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103897/
None,https://idpjournal.biomedcentral.com/articles/10.1186/s40249-020-00662-x
1 26 2020,https://www.biorxiv.org/content/10.1101/2020.01.26.919985v1.full
1 26 2020,https://www.biorxiv.org/content/10.1101/2020.01.26.919985v1
4 10 2020,https://www.statnews.com/2020/04/10/coronavirus-ace-2-receptor/
4 1 2020,https://www.ahajournals.org/doi/10.1161/JAHA.120.016219
3 23 2020,https://www.sciencedaily.com/releases/2020/03/200323101354.htm
None,https://www.mdpi.com/2076-0817/9/3/231/htm
