dates,website,stance
3 27 2020,https://zh-cn.facebook.com/SikhFederationUK/posts/coronavirus-india-super-spreader-quarantines-40000-peoplehttpswwwbbccouknewsworl/2846456405442560/,support
None,https://www.eawaz.com/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,https://www.yaioa.com/currentevents/india-super-spreader-quarantines-40000-people/,support
3 27 2020,https://www.360news.co.za/world/2020/03/27/coronavirus-india-super-spreader-quarantines-40-000-people/,support
3 27 2020,https://news.maketiplace.com/2020/03/28/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,https://zh-cn.facebook.com/106312770952483/posts/coronavirus-india-super-spreader-quarantines-40000-people/130074828576277/,support
3 27 2020,https://zakynthosinformer.com/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,http://telugunewsap12.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://newstral.com/en/article/en/1148818597/coronavirus-india-super-spreader-quarantines-40-000-people,support
3 27 2020,https://trendingnewsabc.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://logodesgin2019.wordpress.com/2020/03/27/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,https://indianewztoday.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://willhealthyliving.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://worldwidecurrentnews.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://thedailyripple.org/index.php/rss-world/548720-coronavirus-india-super-spreader-quarantines-40-000-people,support
None,https://iyandasblog.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://newstral.com/en/article/en/1148800594/india-super-spreader-quarantines-40-000-people,support
3 27 2020,https://newsduniyawali.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 28 2020,https://newslegendry.wordpress.com/2020/03/28/coronavirus-india-super-spreader-quarantines-40000-people-4/,support
3 27 2020,http://fastreporters.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://newsfreshtoday.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://newslegendry.wordpress.com/2020/03/27/coronavirus-india-super-spreader-quarantines-40000-people-2/,support
3 27 2020,https://newsfactsupdate10.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://mytelegraphnews.com/world/asia/2020/03/27/17777/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,http://pekuandanii.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://lesternewsbreakingnews.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://psviralhelp.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,http://newsfactech.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://abhishekgautam1.wordpress.com/2020/03/27/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,http://viral-allnews.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://babukinews.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://wolrdnewstodaytrend.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://cyberpunda.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,http://mliveworld.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://forhealthforaction.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 28 2020,https://www.latestnigeriannews.com/news/8359055/coronavirus-india-super-spreader-quarantines-40000-people.html,support
3 27 2020,https://news738503097.wordpress.com/2020/03/27/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,https://www.latestnigeriannews.com/news/8354626/coronavirus-india-super-spreader-quarantines-40000-people.html,support
3 28 2020,https://bbcnewsget.blogspot.com/2020/03/coronavirus-india-super-spreader.html,support
3 27 2020,https://www.mondialnews.com/2020/03/27/coronavirus-india-super-spreader-quarantines-40000-people/,support
3 27 2020,https://www.intelli.news/united-kingdom/bbc-news/2020/03/27/coronavirus-india-super-spreader-quarantines-40000-people/,support
None,https://gb.grvn.org/coronavirus/super-spreader-coronavirus-0242068,support
