dates,website,stance
3 27 2020,https://apnews.com/5811b7e661d2d0b102ddf7c8b475a1aa,support
3 26 2020,https://www.usatoday.com/story/sports/wnba/2020/03/26/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/111465128/,support
3 26 2020,https://www.nbcnewyork.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2345414/,support
3 26 2020,https://www.nbcchicago.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2244980/,support
3 26 2020,https://www.usnews.com/news/sports/articles/2020-03-26/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
4 2 2020,https://wgme.com/news/coronavirus/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
3 26 2020,https://www.nbcconnecticut.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2245517/,support
3 26 2020,http://nbcmontana.com/news/nation-world/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
3 26 2020,https://www.business-standard.com/article/pti-stories/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic-120032601702_1.html,support
3 26 2020,https://www.nbcphiladelphia.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2341537/,support
3 26 2020,https://www.nbclosangeles.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2335765/,support
3 26 2020,https://www.nbcboston.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2097631/,support
3 26 2020,https://www.gazettenet.com/WNBA-draft-will-be-virtual-event-this-season-due-to-pandemic-33556480,support
3 26 2020,https://www.nbcbayarea.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2261963/,support
3 26 2020,https://abcnews.go.com/Sports/wireStory/wnba-draft-virtual-event-season-due-pandemic-69812441,support
3 26 2020,https://www.local10.com/sports/2020/03/26/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/,support
3 26 2020,https://www.nbcwashington.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2254449/,support
3 26 2020,https://www.nbcdfw.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2339431/,support
3 26 2020,https://www.msn.com/en-us/sports/wnba/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/ar-BB11Kk1g,support
3 26 2020,https://www.nbcmiami.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2211237/,support
3 27 2020,https://sports.inquirer.net/390492/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
3 27 2020,https://www.minotdailynews.com/sports/national-sports-apwire/2020/03/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/,support
4 2 2020,https://wset.com/news/coronavirus/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
3 26 2020,https://fox17.com/news/nation-world/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
3 26 2020,https://www.necn.com/news/sports/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic/2251298/,support
3 26 2020,https://www.dailyherald.com/sports/20200326/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
3 26 2020,https://kimatv.com/news/coronavirus/wnba-draft-will-be-virtual-event-this-season-due-to-pandemic,support
