dates,website,
2 3 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-02-03-20-intl-hnk/h_c309eecee27882a592510ce9d4635acb,support
2 2 2020,https://www.reuters.com/article/us-china-health-russia/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idUSKBN1ZX0MC,support
2 2 2020,https://www.reuters.com/places/russia/article/us-china-health-russia/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idUSKBN1ZX0MC,support
2 2 2020,https://www.reuters.com/article/us-china-health-russia-idUSKBN1ZX0MC,support
2 2 2020,https://www.bloomberg.com/news/articles/2020-02-03/russia-may-deport-foreigners-with-coronavirus-premier-says,support
2 2 2020,https://uk.reuters.com/article/uk-china-health-russia/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idUKKBN1ZX0L2,support
2 3 2020,https://in.reuters.com/article/china-health-russia/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idINKBN1ZX14D,support
2 2 2020,https://jp.reuters.com/article/us-china-health-russia/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idUSKBN1ZX0MC,support
2 3 2020,https://jp.reuters.com/article/china-health-russia-idUSL8N2A31TJ,support
2 3 2020,https://de.reuters.com/article/us-china-health-russia/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idUSKBN1ZX0MC,support
2 3 2020,https://de.reuters.com/article/us-china-health-russia-idUSKBN1ZX0MC,support
2 3 2020,https://www.bloombergquint.com/politics/russia-may-deport-foreigners-with-coronavirus-premier-says,support
2 3 2020,https://news.yahoo.com/russia-may-deport-foreigners-coronavirus-074217092.html,support
2 3 2020,https://www.straitstimes.com/world/europe/coronavirus-russia-may-deport-foreigners-with-wuhan-virus-premier-says,support
2 3 2020,https://in.reuters.com/article/china-health-russia/russia-to-expel-foreigners-with-coronavirus-halts-passenger-trains-to-china-idINKBN1ZX14D,support
2 3 2020,https://fr.reuters.com/article/worldNews/idUSKBN1ZX0MC,support
2 3 2020,https://www.reuters.com/news/picture/russia-may-deport-foreigners-with-corona-idUSKBN1ZX0MC,support
2 3 2020,https://www.detroitnews.com/story/news/world/2020/02/03/russia-may-deport-foreigners-coronavirus-premier-says/41132853/,support
2 3 2020,https://fr.reuters.com/article/oilRpt/idUKL8N2A31TJ,support
2 3 2020,https://finance.yahoo.com/news/russia-may-deport-foreigners-coronavirus-074217092.html,support
2 3 2020,https://nationalpost.com/pmn/health-pmn/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china,support
2 3 2020,https://in.reuters.com/article/china-health-russia/russia-to-expel-foreigners-with-coronavirus-halts-passenger-trains-to-china-idINKBN1ZX14D?feedType=mktg&feedName=worldNews&WT.mc_id=Partner-Google,support
2 3 2020,https://sports.yahoo.com/russia-may-deport-foreigners-coronavirus-074217092.html,support
2 2 2020,https://news.yahoo.com/russia-start-evacuating-citizens-wuhan-064509358.html,support
2 3 2020,https://es.reuters.com/article/idUKKBN1ZX0L2,support
2 3 2020,https://es.reuters.com/article/healthcareSector/idUSL8N2A31TJ,support
2 3 2020,https://nationalpost.com/pmn/health-pmn/russia-may-deport-foreigners-with-coronavirus-halts-train-to-beijing,support
2 2 2020,https://ru.reuters.com/article/china/idUKKBN1ZX0L2,support
2 2 2020,https://ru.reuters.com/article/idUSKBN1ZX0MC,support
2 3 2020,https://ru.reuters.com/article/africaTech/idAFL8N2A31TJ,support
2 3 2020,https://af.reuters.com/article/energyOilNews/idAFL8N2A31TJ,support
2 3 2020,https://ru.reuters.com/article/companyNews/idUKL8N2A31TJ?symbol=MGNTq.L,support
2 3 2020,https://ru.reuters.com/article/companyNews/idUKL8N2A31TJ?symbol=MGNT.MM,support
2 3 2020,https://ru.reuters.com/article/oilRpt/idUKL8N2A31TJ,support
2 3 2020,https://ca.news.yahoo.com/russia-may-deport-foreigners-coronavirus-074217092.html,support
2 3 2020,https://au.news.yahoo.com/russia-may-deport-foreigners-coronavirus-074217092.html,support
2 3 2020,https://news.yahoo.com/russia-expel-foreigners-coronavirus-halts-100148122.html,support
2 3 2020,https://1businessworld.com/2020/02/business-news-uk/russia-may-deport-foreigners-with-coronavirus-halts-trains-to-china-idukkbn1zx0l2/,support
2 4 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-03-20-intl-hnk/h_c309eecee27882a592510ce9d4635acb,support
2 2 2020,https://uk.news.yahoo.com/russia-expel-foreigners-coronavirus-halts-063451832.html,support
2 2 2020,https://ca.news.yahoo.com/russia-start-evacuating-citizens-wuhan-064509358.html,support
2 3 2020,https://www.panorama.am/en/news/2020/02/03/Russia-coronavirus/2232902,support
2 3 2020,https://www.devdiscourse.com/article/international/859436-update-2-russia-may-deport-foreigners-with-coronavirus-halts-train-to-beijing,support
2 3 2020,https://news.kodoom.com/en/iran-politics/russia-may-deport-foreigners-with/story/8361126/,support
2 3 2020,https://www.streetinsider.com/Reuters/Russia+may+deport+foreigners+with+coronavirus%2C+halts+trains+to+China/16402404.html,support
2 4 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-02-03-20-intl-hnk/h_20b07833072d8d6a48be2668fbab2a83,support
4 20 2020,https://wuhanupdate.com/china/russia-expel-foreigners-coronavirus-halts-passenger-trains-china-0008246,support
2 3 2020,https://realnewsmagazine.net/foreign/russia-may-deport-foreigners-with-coronavirus-halts-train-to-beijing/,support
2 3 2020,https://www.environewsnigeria.com/russia-may-deport-foreigners-with-coronavirus-halts-train-to-beijing/,support
