dates,website
None,https://www.thebalance.com/what-caused-the-subprime-mortgage-crisis-3305696
"funds, banks, Hedge",https://www.thebalance.com/what-caused-the-subprime-mortgage-crisis-3305696
None,https://www.thebalance.com/subprime-mortgage-crisis-effect-and-timeline-3305745
None,https://www.thebalance.com/mortgage-crisis-overview-315684
None,https://www.thebalance.com/were-mortgage-crisis-and-bank-bailout-preventable-3305676
None,https://www.thebalance.com/role-of-derivatives-in-creating-mortgage-crisis-3970477
None,https://www.thebalance.com/the-great-recession-of-2008-explanation-with-dates-4056832
None,https://en.wikipedia.org/wiki/Subprime_mortgage_crisis
1 12 2020,https://www.investopedia.com/articles/07/subprime-blame.asp
4 13 2017,https://www.americanprogress.org/issues/economy/reports/2017/04/13/430424/2008-housing-crisis/
9 7 2018,https://www.thestreet.com/personal-finance/mortgages/subprime-mortgage-crisis-14704400
