dates,website,
3 24 2020,https://www.bettergov.org/news/fact-check-did-pritzker-lack-authority-to-postpone-the-primary/,support
3 24 2020,https://www.politifact.com/factchecks/2020/mar/24/jb-pritzker/did-pritzker-lack-authority-postpone-illinois-prim/,support
3 24 2020,https://www.politifact.com/factchecks/list/?category=&ruling=mostly-true&speaker=jb-pritzker,support
3 24 2020,https://www.politifact.com/illinois/,support
3 24 2020,https://www.politifact.com/elections/,support
3 24 2020,https://www.politifact.com/factchecks/2020/may/08/nancy-pelosi/pelosi-exaggerates-former-republican-governors-rol/,support
3 24 2020,https://chicago.suntimes.com/politics/2020/3/24/21192803/fact-check-pritzker-authority-postpone-primary-election,support
3 24 2020,https://capitolfax.com/2020/03/24/nitpickers-gonna-nitpick-2/,support
3 24 2020,https://www.nytimes.com/article/2020-campaign-primary-calendar-coronavirus.html,support
3 24 2020,"https://ballotpedia.org/Changes_to_election_dates,_procedures,_and_administration_in_response_to_the_coronavirus_(COVID-19)_pandemic,_2020",support
