dates,website,
2 7 2020,https://www.youtube.com/watch?v=ZtkSYY9Z2fE,support
2 7 2020,https://www.youtube.com/watch?v=WaB1ZDILAsI,support
2 4 2020,https://www.youtube.com/watch?v=dRggIb5Je_w,support
2 7 2020,https://www.youtube.com/watch?v=5zTv0pyVpV0,support
3 11 2020,"https://www.who.int/docs/default-source/coronaviruse/situation-reports/20200311-sitrep-51-covid-19.pdf?sfvrsn=1ba62e57_10#:~:text=The%20virus%20that%20causes%20COVID,provisions%20and%20social%20care.",support
2 11 2020,https://www.cnn.com/2020/02/08/opinions/coronavirus-bociurkiw/index.html,support
2 7 2020,https://www.cnn.com/videos/world/2020/02/07/china-wuhan-coronovirus-doctor-censorship-culver-pkg-vpx.cnn,support
2 13 2020,https://www.cnn.com/2020/02/13/asia/china-wuhan-free-speech-xi-intl-hnk/index.html,support
2 7 2020,https://www.msn.com/en-us/news/world/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vi-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/news/politics/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vi-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/weather/topstories/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vi-BBZKr0I,support
2 6 2020,https://www.youtube.com/watch?v=s4YOwrm7Uew,support
2 7 2020,https://www.youtube.com/watch?v=GTJKeWic_zs,support
2 7 2020,https://www.youtube.com/watch?v=43vl4STU-vU,support
2 7 2020,https://www.youtube.com/watch?v=TmGkGWYW3JI,support
2 7 2020,https://www.youtube.com/watch?v=8mUSpoVuOTU,support
2 6 2020,https://www.youtube.com/watch?v=RX9r5ORKdp0,support
2 7 2020,https://www.channel3000.com/i/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/,support
2 7 2020,https://www.msn.com/en-us/news/video/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/travel/news/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/health/other/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vi-BBZKr0I,support
2 7 2020,https://www.youtube.com/watch?v=tTCywQBB3JE,support
2 7 2020,https://www.youtube.com/watch?v=M35grVa8PkQ,support
2 7 2020,https://www.youtube.com/watch?v=xrIguab04X4&list=PLwDHgX9xWfZmXHe6ureF8N-Wm7_wnIs4j&index=9&t=0s,support
2 8 2020,https://www.youtube.com/watch?v=lLuW1nhQVug,support
2 7 2020,https://www.youtube.com/watch?v=Z-FOVAX0pjs,support
2 7 2020,https://www.msn.com/en-us/video/news/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vi-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/video/l/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/foodanddrink/other/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/entertainment/story/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.kxly.com/i/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/,support
2 7 2020,https://www.msn.com/en-us/travel/travel-trivia/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/sports/nhl/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/health/health-news/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/health/causes/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vi-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/sports/nba/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/money/news/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 7 2020,https://www.msn.com/en-us/travel/us-travel/wuhan-coronavirus-kills-doctor-who-warned-of-outbreak/vp-BBZKr0I,support
2 9 2020,https://www.cnn.com/2020/02/09/asia/wuhan-citizen-journalist-intl-hnk/index.html,support
2 7 2020,https://www.youtube.com/watch?v=a47qFuDAlVA,support
2 7 2020,https://www.youtube.com/watch?v=a47qFuDAlVA,support
2 7 2020,https://www.youtube.com/watch?v=PW_ySAFtpiU,support
