dates,website,
2 4 2020,https://www.dailymail.co.uk/news/article-7965927/Devastated-Chinese-daughter-cries-mother-died-coronavirus.html,support
2 4 2020,https://internewscast.com/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/,support
2 4 2020,https://abc14news.com/2020/02/04/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/,support
2 5 2020,https://amp.flipboard.com/@dailymail/top-stories-u688ruicz/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/a-pP-aDQiQRJK8-r2xYLTc3w%3Aa%3A2647496046-1be15048dd%2Fco.uk,comment
2 5 2020,https://expressinformer.com/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/,support
2 4 2020,https://flipboard.com/@dailymail/uk-news-slkiibpnz/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/a-0xU0Xra5RTCGQSbrsGxwQA%3Aa%3A2647496046-1be15048dd%2Fco.uk,support
2 4 2020,https://flipboard.com/@dailymail/top-stories-u688ruicz/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/a-pP-aDQiQRJK8-r2xYLTc3w%3Aa%3A2647496046-1be15048dd%2Fco.uk,support
2 4 2020,https://chochilino.com/lifestyle/2020/02/04/medical-news/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/,support
2 4 2020,https://brainbored.com/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/,support
2 18 2020,https://kylielipstick.com/blogs/u-s-home-mail-online/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus,support
2 4 2020,http://uk.trendolizer.com/2020/02/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus.html,support
4 2 2020,https://theworldnews.net/uk-news/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus,support
2 5 2020,https://hienalouca.com/2020/02/05/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus/,support
2 4 2020,https://headtopics.com/uk/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus-11088592,comment
2 4 2020,https://internewscast.com/michelle-williams-buys-8-3m-townhouse-with-hamilton-director-fiance/,support
3 19 2020,https://internewscast.com/one-third-of-students-drop-out-of-courses-due-to-mental-health-issues-poll-suggests/,support
3 28 2020,https://internewscast.com/neighbors-organize-a-pet-parade-for-dying-south-loop-man/,support
3 6 2020,https://internewscast.com/mother-of-two-47-who-attacked-british-airways-cabin-crew-in-drunken-rage-avoids-jail/,support
2 19 2020,https://internewscast.com/nigeria-is-governable-systems-structures-and-small-sense-by-rachael-onamusi/,support
2 4 2020,https://www.thelivefeeds.com/devastated-chinese-daughter-cries-after-her-mother-died-of-coronavirus-daily-mail/,comment
2 12 2020,https://brainbored.com/nasas-mars-2020-rover-is-fitted-with-a-laser-that-vaporizes-rock-to-search-for-signs-of-life/,support
2 4 2020,https://internewscast.com/florida-woman-68-shocks-her-husband73-with-a-taser-after-he-tells-her-he-wants-a-divorce/,support
2 4 2020,https://abc14news.com/page/4677/?fbclid=IwAR32oAflsiK9jbSjw3agrYPZT9kKJ6nxgagG1Juj9grS9LNk_4n1oj6lL8o,support
2 4 2020,https://brainbored.com/finally-a-new-new-mutants-poster-includes-new-20th-century-studios-logo/,support
2 4 2020,https://brainbored.com/how-holidaymakers-can-save-up-to-hundreds-of-pounds-on-trips-to-disneyland-paris/,comment
2 4 2020,https://chochilino.com/lifestyle/2020/02/04/medical-news/phe-reaches-crucial-step-in-fully-sequencing-novel-coronavirus/,support
2 4 2020,https://chochilino.com/lifestyle/2020/02/04/medical-news/woman-grows-eyelash-like-hairs-in-her-mouth/,support
2 5 2020,https://expressinformer.com/disgraced-cop-spared-jail-after-telling-undercover-officer-he-wanted-to-rape-11-year-old-girl/,support
,,
,,
