dates,website,
2 3 2020,https://www.reuters.com/article/us-china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUSKBN1ZX26A,support
2 3 2020,https://www.reuters.com/article/china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUKL4N2A33UF,support
2 3 2020,https://www.reuters.com/article/china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUSL4N2A33UF,support
2 4 2020,https://www.japantimes.co.jp/news/2020/02/04/asia-pacific/science-health-asia-pacific/chinese-woman-detained-hiding-virus-contact-history-xinhua/,support
2 3 2020,https://www.usnews.com/news/world/articles/2020-02-03/chinese-woman-detained-for-hiding-virus-contact-history-xinhua,support
2 3 2020,https://jp.reuters.com/article/us-china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUKKBN1ZX26A,support
2 3 2020,https://uk.reuters.com/article/uk-china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUKKBN1ZX25C,support
2 3 2020,https://in.reuters.com/article/china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idINKBN1ZX24U,support
2 3 2020,https://in.reuters.com/article/china-health-detention-idINL4N2A33UF,support
2 3 2020,https://in.reuters.com/article/us-china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idINKBN1ZX26A?feedType=RSS&feedName=health,support
2 3 2020,https://in.reuters.com/article/china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idINKBN1ZX24U?feedType=mktg&feedName=worldNews&WT.mc_id=Partner-Google,support
2 3 2020,https://uk.reuters.com/article/uk-china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUKKBN1ZX25C?feedType=RSS&feedName=worldNews,support
2 4 2020,https://www.thestar.com.my/news/world/2020/02/04/chinese-woman-detained-for-hiding-virus-contact-history---xinhua,support
2 3 2020,https://cn.reuters.com/article/china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idINL4N2A33UF,support
2 3 2020,https://cn.reuters.com/article/china-health-detention/chinese-woman-detained-for-hiding-virus-contact-history-xinhua-idUKL4N2A33UF,support
2 4 2020,https://www.todayonline.com/world/chinese-woman-detained-hiding-virus-contact-history-xinhua,support
2 4 2020,https://www.yahoo.com/news/chinese-woman-detained-hiding-virus-160328594.html,support
2 3 2020,https://www.thisismoney.co.uk/wires/reuters/article-7961787/Chinese-woman-detained-hiding-virus-contact-history--Xinhua.html,support
2 3 2020,https://www.devdiscourse.com/article/international/859561-chinese-woman-detained-for-hiding-virus-contact-history---xinhua,support
2 3 2020,https://1000.news/c/wR_yC3AB03Ph8DWkRsxx/2020-02-03/chinese-woman-detained-for-hiding-virus-contact-history-xinhua,support
2 4 2020,https://www.japantimes.co.jp/news/2020/02/04/asia-pacific/substandard-mask-donations-china-virus-response-red-cross/,support
2 4 2020,https://www.thestar.com.my/news/world/2020/02/04/sinn-fein-establish-clear-lead-in-opinion-poll-ahead-of-irish-election,support
2 4 2020,https://www.thestar.com.my/news/world/2020/02/04/more-soldiers-won039t-help-mali-talks-with-jihadists-might---un,support
2 4 2020,https://www.onenewspage.com/n/Health/1zlqhn7g51/Chinese-woman-detained-for-hiding-virus-contact.htm,support
