3,F,"The lie that coronavirus came from a bat or a pangolin is concocted by the Chinese state with the tacit support of the U.S. deep state and its friends in the European Union, Russia and Australia, and spread by the docile media in all of those countries",3
4,F,The health experts had predicted the virus could kill 65 million people in a year,3
8,F,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead",3
10,U,"Warm weather will kill coronavirus. U.S. President Donald Trump said he hoped the virus would go away in April 2020 because the ""heat generally speaking kills this kind of virus.""",2
15,F,Using a hair dryer to breathe in hot air can cure COVID-19 and stop its spread,2
21,T,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases,2
22,T,The Chinese government is building a hospital in 10 days to deal with the new coronavirus,3
28,U,"U.S. President Donald Trump referred to the new coronavirus as a ""hoax.""",2
33,T,"U.S. federal government will support for free coronavirus testing, paid sick and family leave, and food assistance for poor families",2
34,F,U.S. Vice President Mike Pence took over the Trump administration's response to an outbreak of a new coronavirus. He Touch NASA gear labeled ‘Do Not Touch�?,2
53,U,The coronavirus is “heat resistant�?,3
56,U,Viral particles released during a sneeze can reach 10 feet,2
57,T,The coronavirus survive longer on metal surfaces,3
58,T,"We found that viable [COVID-19] virus could be detected in aerosols up to 3 hours post aerosolization, up to 4 hours on copper, up to 24 hours on cardboard and up to 2-3 days on plastic and stainless steel",2
64,F,Video shows China lifts ban on Korans during COVID-19 pandemic,2
65,F,U.S. Vice President Mike Pence introduced a program to cure new coronavirus carriers with the discredited practice of conversion therapy,2
72,T,The U.S. government has since taken steps to roll out widespread testing for the coronavirus disease at no cost to patients,3
73,U,Videos show people collapsing on the street due to coronavirus,2
91,F,WHO has released “protocols and procedures” of lockdown periods to fight Covid-19,2
97,T,"Valencia, Spain, has closed its beaches to prevent people fleeing the virus from coming there, and leading to a reverse migration away from the shore",2
99,U,The United States offered large sums of money to secure a COVID-19 vaccine for exclusive U.S. use,3
100,T,"The Supreme Court announced Monday that it is postponing arguments for late March and early April because of the coronavirus, including fights over subpoenas for President Donald Trump’s financial records",3
102,T,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it",3
103,U,There is no risk of spread through sweat,3
107,F,You will get a free coronavirus test by donating blood,2
109,T,Trump declares coronavirus pandemic a national emergency. The president said it would free up as much as $50 billion for state and local governments to respond to the outbreak,2
111,T,The novel coronavirus can live for two to three days on plastic and stainless steel,3
137,T,"With deaths spiking in Iran and Italy and infections spreading quickly through Europe, the Mideast and the Americas, countries were considering new drastic measures to curb the new coronavirus",2
143,F,This photo shows the Italian president crying over COVID-19,3
148,T,The Trump administration recently announced plans for a $1 trillion emergency stimulus package to alleviate economic strain caused by the coronavirus pandemic,3
149,F,"The U.S. government is sending out hundreds of dollars per week to each U.S. citizen “starting from�?either March 16 or March 17, depending on the post",3
152,F,"The U.S. government have announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020.3.23",3
166,F,"Viral posts on social media claim COVID-19 is no worse than other outbreaks that have occurred in “every election year,�?suggesting that the new coronavirus is being “hyped�?to hurt President Donald Trump",2
169,U,The novel coronavirus has a contagion factor of 2,3
170,U,"The “cure rate�?for people under 50 infected with COVID-19 is 99.7%, which would equate to a death rate of 0.3%",3
171,F,The spread of COVID-19 is leveling off,3
175,T,There is currently no specific medicine recommended to prevent or treat the new coronavirus,3
178,T,"While saline water or water with vinegar is sometimes used to help soothe a sore throat, but it doesn’t kill the virus",2
181,F,Within 48 to 72 Hours�?The president will order a two week mandatory quarantine for the nation. Stock up on whatever you guys need to make sure you have a two week supply of everything. Please forward to your network,2
182,F,The coronavirus is not so harmful. It was the least deadly and most-hyped by the media,3
185,F,Vaccine for COVID-19 is now available,2
196,T,"The total number of deaths from Covid-19 in Italy rose from 233 to 4,032 over about two weeks",3
202,T,"The total number of deaths from Covid-19 in the UK is now at 233, the same number of deaths reported in Italy about two weeks ago",3
204,F,Youngsters deliberately coughing on produce in grocery stores during the COVID-19 pandemic is a nationwide trend in the U.S,2
205,F,"The US is charging over $3,000 per test�?for patients who may have COVID-19",3
206,T,"The U.S. Food and Drug Administration has authorized the use of two tests, one from the Centers for Disease Control and Prevention and one from the New York State Department of Public Health. Neither agency is currently charging patients for the test",3
208,F,The vaccine used to protect cattle from the bovine coronavirus would be effective in vaccinating against the novel coronavirus,3
212,U,"The new coronavirus would “go away�?in April, as temperatures warm",3
214,F,Vitamin C can stop the new coronavirus,2
216,F,"The coronavirus pandemic can be dramatically slowed, or stopped completely, with the immediate widespread use of high doses of vitamin C",3
221,F,The new coronavirus contains HIV insertions and shows signs of being created in a lab. So it was bioengineered,3
222,F,"The coronavirus was man-made, rather than the natural result of people coming into contact with wild animals",3
