dates,website,
None,https://www.boomlive.in/fake-news/false-video-shows-tablighi-jamaat-member-running-naked-in-an-isolation-ward-7596,support
None,https://www.altnews.in/old-video-from-pakistan-shared-as-tablighi-jamaat-member-roaming-naked-in-isolation-ward/,support
4 8 2020,https://newscentral24x7.com/old-video-pakistan-falsely-viral-tablighi-jamaat-member-roaming-naked-isolation-ward/,support
4 8 2020,https://m.dailyhunt.in/news/india/english/databaaz-epaper-databaaz/false+video+shows+tablighi+jamaat+member+running+naked+in+an+isolation+ward-newsid-176936438,support
4 8 2020,https://m.dailyhunt.in/news/india/english/boom+factcheck-epaper-boomfe/false+video+shows+tablighi+jamaat+member+running+naked+in+an+isolation+ward-newsid-176933982,support
4 8 2020,https://m.dailyhunt.in/news/nepal/english/databaaz-epaper-databaaz/false+video+shows+tablighi+jamaat+member+running+naked+in+an+isolation+ward-newsid-176936438,support
4 8 2020,https://m.dailyhunt.in/news/nepal/english/boom+factcheck-epaper-boomfe/false+video+shows+tablighi+jamaat+member+running+naked+in+an+isolation+ward-newsid-176933982,support
4 9 2020,https://www.poynter.org/?ifcn_misinformation=a-tablighi-jamaat-member-kept-in-uttar-pradeshs-a-state-in-india-isolation-ward-is-running-naked-and-creating-chaos,support
4 8 2020,https://thecognate.com/old-video-from-pakistan-falsely-shared-as-tablighi-jamaat-member-running-naked-in-quarantine-centre/,support
4 12 2020,https://www.nytimes.com/2020/04/12/world/asia/india-coronavirus-muslims-bigotry.html,support
