dates,website,
2 3 2020,https://www.dailymail.co.uk/health/article-7962011/Chinese-private-school-pupils-face-coronavirus-quarantine-travel-home.html,support
2 3 2020,https://www.soundhealthandlastingwealth.com/health-news/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://internewscast.com/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://readsector.com/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://www.newsyworld.com/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://varient.net/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home,support
2 3 2020,https://expressdigest.com/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,http://healthmedicinet.com/i/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://en.mogaznews.com/Health/1428005/Chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home.html,support
2 3 2020,https://newstral.com/en/article/en/1144994489/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home,support
2 3 2020,https://theworldnews.net/uk-news/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home,support
2 3 2020,https://www.coronaviral.org/china/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home-22868428,support
2 3 2020,https://newstral.com/en/article/en/1145751655/russian-hospital-sues-chinese-woman-for-fleeing-coronavirus-quarantine,support
2 3 2020,https://www.15minutenews.com/article/177813997/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://www.citizenreports.co.uk/health/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/,support
2 3 2020,https://maosoo3h.com/2020/02/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home/.html,support
2 3 2020,https://all.press/EU/chinese-private-school-pupils-face-coronavirus-quarantine-if-they-travel-home,support
