dates,website,
1 23 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_97f44d7364f89a4a0dc5301b009f907c,support
 1 22 2020,https://edition.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_305fe21165231a0ab1150b6aa4e38b57,support
1 22 2020,https://edition.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_6c2d7a8766c09b8abda4068cd52be674,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_6c2d7a8766c09b8abda4068cd52be674,support
1 22 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_97f44d7364f89a4a0dc5301b009f907c,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_4298eb7dac659e02dfe712a4d0ae134e,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_dd40be8766f4a8784e72cc2469172ff3,support
1 23 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_faa6b5c9b260131aae19b83ddfddae8e,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_305fe21165231a0ab1150b6aa4e38b57,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_b6ff0d4bd2e53b2ee9e5ca768e231811,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_8fc9383d9eeaeed3ecab6eef425e645b,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_0783f35dd2d56d368d949a9a7620fecc,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_2489293a39d23d899144ee224e26f462,support
1 22 2020,https://www.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_ae5f21c45877ccc6847e9e04068754ca,support
1 22 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_5acb32ddcf892ca8ac053fc1482ab203,support
1 23 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_be8900e68dcfcbf0e612b1f67055532d,support
1 22 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_6634ea143b8e65c5b73b4ce17b4bb56e,support
1 22 2020,https://edition.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_b6ff0d4bd2e53b2ee9e5ca768e231811,support
1 22 2020,https://edition.cnn.com/asia/live-news/wuhan-coronavirus-china-intl-hnk/h_4298eb7dac659e02dfe712a4d0ae134e,support
1 23 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_faa6b5c9b260131aae19b83ddfddae8e,support
1 22 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_21e95ae8bc5bac2015761cb8fb8e5f90,support
1 22 2020,https://www.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_4f39c315a4913038ca79cbb4c7c3e761,support
1 23 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_17e11c2c2157259f90cbdb3551e94417,support
1 23 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_3ec3547de0f3e73acf49b21ebc54132d,support
1 23 2020,https://edition.cnn.com/asia/live-news/coronavirus-outbreak-intl-hnk/h_4f39c315a4913038ca79cbb4c7c3e761,support
