dates,website,stance
3 19 2020,https://www.foxnews.com/health/early-symptom-coronavirus-might-be-digestive-issues-study,support
3 20 2020,https://www.wdrb.com/news/coronavirus/study-early-symptom-of-coronavirus-might-be-digestive-issues/article_6e2d83be-6aa3-11ea-84e7-5f3931d26cfc.html,support
None,https://flipboard.com/article/early-symptom-of-coronavirus-might-be-digestive-issues-study/a-n5ePAgQwQnOoRDF9HwzNOw%3Aa%3A125029498-a388e512ba%2Ffoxnews.com,support
None,https://flipboard.com/article/early-symptom-of-coronavirus-might-be-digestive-issues-study/a-W37ARt7bTZCwFKK0nEllvQ%3Aa%3A183416091-a388e512ba%2Ffoxnews.com,support
None,https://flipboard.com/article/early-symptom-of-coronavirus-might-be-digestive-issues-study/a-ejaI5R0RRMe-IX4HL_YvQA%3Aa%3A558048500-a388e512ba%2Ffoxnews.com,support
4 2 2020,https://www.newsweek.com/diarrhea-coronavirus-symptom-covid-19-patients-study-1495667,support
3 20 2020,https://www.deseret.com/u-s-world/2020/3/20/21188185/coronavirus-covid-19-diarrhea-gas-stomach-issues,support
3 31 2020,https://www.livescience.com/coronavirus-diarrhea-symptoms.html,support
2 18 2020,https://www.nationalgeographic.com/science/2020/02/here-is-what-coronavirus-does-to-the-body/,support
None,https://www.thailandmedical.news/trending_news,support
