dates,website,
1 30 2020,https://www.theguardian.com/world/video/2020/jan/31/coronavirus-british-family-heads-for-exit-flight-after-chinese-wife-allowed-to-board-video,support
1 30 2020,https://www.theguardian.com/world/2020/jan/30/british-families-choose-to-stay-in-china-rather-than-be-separated-coronavirus,support
1 30 2020,https://www.theguardian.com/world/live/2020/jan/30/coronavirus-live-updates-china-death-toll-wuhan-evacuation-foreign-nationals-citizens-latest-news,support
1 30 2020,https://www.youtube.com/watch?v=N5bRvttoEK8,support
1 31 2020,https://flipboard.com/@TheGuardian/coronavirus-british-family-heads-for-exit-flight-after-chinese-wife-allowed-to-/f-58689ee5fb%2Ftheguardian.com,support
3 6 2020,https://jp.voicetube.com/videos/86481,support
1 23 2020,https://www.youtube.com/watch?v=aerq4byr7ps&list=PL1ijbrWIDgzWQCOTdzX_iXj7Mtnivxi7H&index=27,support
1 31 2020,https://www.youtube.com/watch?v=NKbJ_Rzzl94&list=UL3RHZJ-papHk&index=1513,support
1 31 2020,https://www.youtube.com/watch?v=DsrxbswyXoE&list=UL0J7I718Gs9A&index=1021,support
3 6 2020,https://tw.voicetube.com/videos/86481,support
2 2 2020,https://keicarsfanzine.com/coronavirus-british-family-heads-for-exit-flight-after-chinese-wife-allowed-to-board/,support
