Twitter ID,release date,comment,time,replies,retweets,likes,timestamp,stance
7683503934391902619,Mon Mar 23 2020,@adgpi Stay safe my soldiers,Mon Mar 23 11:20:40 +0000 2020,0,11,11,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,#Quarantine facilities of #IndianArmy as on date are only functioning at #Manesar &amp; #Jaisalmer.#SayNo2Panic#SayYes2Precautions#MoDAgainstCorona,Mon Mar 23 11:17:39 +0000 2020,114,567,567,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Proud of Our Army which offers support to Citizens while itself embracing VulnerabilityKudos to Our Soldiers👍A Veteran Group could be formed to help in the Impending National Lockdown Crisis to assist the overall effortsMany doctors &amp; diehards amongst VeteransJAI HIND 🇮🇳,Mon Mar 23 13:19:42 +0000 2020,0,10,10,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,"@adgpi Is dis Jsl?""1k bed Hospital created by Army in Barmer,Rajasthan;It takes a few hours 2 set up such Hospts&amp;we hav been reading abt China doing such miraculous feats&amp;forgotten achievements of our army. Hats off 2 our Army,as always in times of disaster management""-WhatsApp Univ! https://t.co/CxTs2e0kBH",Fri Mar 27 15:23:00 +0000 2020,1,1,1,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,@adgpi @manaman_chhina Finally its fake??,Mon Mar 23 12:28:48 +0000 2020,0,1,1,53:06.4,query
7683503934391902619,Mon Mar 23 2020,@adgpi @KPGanesh But better do it.,Mon Mar 23 13:52:35 +0000 2020,0,0,0,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Jai Hind,Mon Mar 23 12:52:03 +0000 2020,0,0,0,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Okay 🙏🙏🙏,Mon Mar 23 13:44:43 +0000 2020,0,0,0,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Make it true then,Mon Mar 23 11:20:34 +0000 2020,0,2,2,53:06.4,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Stay safe everyone 🙏,Tue Mar 24 04:29:25 +0000 2020,0,0,0,53:09.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi 👌👌🙏🙏,Tue Mar 24 06:44:19 +0000 2020,0,0,0,53:09.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Jai hind jai BharatBharat jayatu,Tue Mar 24 07:50:56 +0000 2020,0,0,0,53:09.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi LOL,Tue Mar 24 03:01:27 +0000 2020,0,0,0,53:09.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Right,Mon Mar 23 15:58:20 +0000 2020,0,0,0,53:09.3,comment
7683503934391902619,Mon Mar 23 2020,@adgpi @BhaavnaArora Jai Hind,Mon Mar 23 16:17:43 +0000 2020,0,0,0,53:09.3,comment
7683503934391902619,Mon Mar 23 2020,@adgpi जय हिंद,Tue Mar 24 06:43:54 +0000 2020,0,0,0,53:09.3,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Thanks a lots my dearest army peoples I love you so much better than god,Mon Mar 23 17:55:15 +0000 2020,0,0,0,53:09.3,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Thanks for updating all. People are not seriously taking this disease. Enemies might take this as an opportunity to encroach land. Read in todays Newspaper regarding deploying some spy submarines in Indian ocean,Tue Mar 24 01:26:25 +0000 2020,0,0,0,53:12.1,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Instead of clarification of fake news. Make it true.,Mon Mar 23 11:24:29 +0000 2020,0,3,3,53:12.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Oh god these foolish people stared giving FAKE News about Defence force 🤔,Tue Mar 31 18:21:33 +0000 2020,0,0,0,53:12.2,deny
7683503934391902619,Mon Mar 23 2020,@Humanofearth4 @adgpi Tu pidi h chadarmod.,Mon Mar 23 11:19:17 +0000 2020,0,8,8,53:12.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi  जरूर कतो का का?हा,Mon Mar 23 11:18:44 +0000 2020,1,8,8,53:12.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Fakus bhakts  making fun of our army,Fri Mar 27 16:21:52 +0000 2020,0,0,0,53:12.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi @rannvijaysingha,Tue Mar 24 10:13:02 +0000 2020,0,0,0,53:12.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Sir IAM from tamilnadu.coimbatore ARO application open in already.but I doubt for filing application. so i call them 10 times to ARO coimbatore but no answer.please help me.,Mon Mar 30 15:44:38 +0000 2020,0,0,0,53:12.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi Only army can save country in situation like this. 🙏,Tue Mar 24 11:06:35 +0000 2020,0,0,0,53:15.2,comment
7683503934391902619,Mon Mar 23 2020,@adgpi [] [] SPREAD FEAR IN UNITED NATION'S [] &lt;&lt;&lt;&lt;&lt; ^ [] [] https://t.co/9q8c9BL6uh,Tue Mar 24 09:35:29 +0000 2020,0,0,0,53:18.2,comment
