Twitter ID,release date,comment,time,replies,retweets,likes,timestamp,Unnamed: 8
-8581905515798373581,Tue Mar 03 2020,"SARS-CoV-2 is a Coronavirus, it has a viral envelope formed of proteins that can be destroyed by exposure to 80%+ C2H5OH Ethanol hand sanitizer. It is true that SOME viruses that are non enveloped (norovirus famously) cannot be killed this way, but SARS-COV-2 can. https://t.co/uf7aHxdVRq",Tue Mar 03 09:40:32 +0000 2020,139,335,335,23:50.1,stance
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 Isnt a lot of supermarket stuff too weak, in terms of ethanol content, but nice-smelling?",Tue Mar 03 20:45:06 +0000 2020,0,2,2,23:50.1,support
-8581905515798373581,Tue Mar 03 2020,Fighting the spread of #Covid_19 is hard enough but also having to fight misinformation is harder.Please follow only reputable sources for advice:@WHO @DHSCgovuk @PHE_uk @CDCgov,Tue Mar 03 09:40:38 +0000 2020,170,615,615,23:50.1,comment
-8581905515798373581,Tue Mar 03 2020,"@luvdolapo Agree that antibiotics won't work for viruses. But alcohol based hand sanitizer will help prevent Coronavirus, as it will kill bacteria, fungi, and viruses alike.",Tue Mar 03 12:30:34 +0000 2020,11,200,200,23:50.1,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 So washing my hands in navy strength gin won't cut the envelope!!!!,Tue Mar 03 18:48:52 +0000 2020,0,4,4,23:50.1,support
-8581905515798373581,Tue Mar 03 2020,"The advice from the @WHO is clear, use hand gel if your hands are not visibly soiled and wash them if they are with normal mild soap and tepid water.Washing will clear off dirt likely to harbour pathogens which hand gel won't necessarily penetrate. https://t.co/MOlAvhUJ5t",Tue Mar 03 09:40:36 +0000 2020,108,275,275,23:50.1,comment
-8581905515798373581,Tue Mar 03 2020,@Tuttlebees Only good for drinking I'm afraid,Tue Mar 03 18:49:41 +0000 2020,1,12,12,23:50.1,support
-8581905515798373581,Tue Mar 03 2020,"@mickylategate In general, to be on the market in the UK they have to be above 60% alcohol and should be effective against Coronavirus",Tue Mar 03 20:46:35 +0000 2020,12,63,63,23:50.1,comment
-8581905515798373581,Tue Mar 03 2020,"Of note, the OP when this was pointed out, immediately doubled down (unsurprisingly for this hellsite) but also made extensive use of the hide replies function, making it seem like everyone was agreeing with her.The post got thousands of likes and RT before being deleted.",Tue Mar 03 09:40:37 +0000 2020,28,224,224,23:50.1,support
-8581905515798373581,Tue Mar 03 2020,"In most circumstances, alcohol based hand sanitizer will do the job just fine, especially if you are in situation without water or soap (eg public transport)Please see this paper attached regarding the efficacy of alcohol based hand sanitizer. https://t.co/eu4LbxJJVt",Tue Mar 03 09:40:37 +0000 2020,85,229,229,23:50.1,support
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 Aargh! The ""expert"" on Radio4 the other day said soap and water was the best way to kill the virus. Who to believe?",Tue Mar 03 20:41:16 +0000 2020,0,1,1,23:52.7,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @threadreaderapp unroll please,Tue Mar 03 11:02:34 +0000 2020,0,1,1,23:52.7,query
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 I'd kiss you for this info... But... You know... Safety first ?,Tue Mar 03 09:45:11 +0000 2020,0,29,29,23:52.7,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Cosplayer *and* scientist or cosplayer *playing* a scientist? https://t.co/uSrp1VEBwo,Tue Mar 03 12:31:01 +0000 2020,0,31,31,23:52.7,comment
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 Dunno, Ive been drinking the damn stuff all day and I cant stop coughing.",Tue Mar 03 12:32:03 +0000 2020,1,119,119,23:52.7,comment
-8581905515798373581,Tue Mar 03 2020,@ElbaDragon @drphiliplee1 Patience of the dog!,Tue Mar 03 20:44:18 +0000 2020,0,3,3,23:52.7,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 It must have 70% alcohol content,Tue Mar 03 12:41:12 +0000 2020,0,4,4,23:52.7,comment
-8581905515798373581,Tue Mar 03 2020,@Tattooed_Mummy @drphiliplee1 Elbow bump?,Tue Mar 03 10:31:57 +0000 2020,0,35,35,23:52.7,support
-8581905515798373581,Tue Mar 03 2020,@jmkarski @drphiliplee1 60% is fine! In the lab we use 70% ethanol rather than higher (in spray form) because higher percentages can evaporate more rapidly and so reduce contact time with the pathogens.,Tue Mar 03 17:56:24 +0000 2020,3,26,26,23:52.7,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @The_Holy_Log Okay if you can actually find any.,Tue Mar 03 11:36:53 +0000 2020,0,7,7,23:56.3,support
-8581905515798373581,Tue Mar 03 2020,"@lulumccoy @drphiliplee1 @The_Holy_Log You can make your own with pure aloe Vera gel , rubbing alcohol ( or even Vodka) and add a couple of drops of tea tree oil if you have it",Tue Mar 03 14:26:07 +0000 2020,0,6,6,23:56.3,comment
-8581905515798373581,Tue Mar 03 2020,@ChrisDanvers07 @drphiliplee1 Either will work fine. 70% generally works best because it's the best compromise between ability to kill stuff and time before evaporation.,Tue Mar 03 20:38:44 +0000 2020,2,6,6,23:56.3,comment
-8581905515798373581,Tue Mar 03 2020,"@iamtheavalanche @drphiliplee1 @RJMrgn To be fair, she had amazing legs.",Tue Mar 03 21:21:49 +0000 2020,0,1,1,23:56.3,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 What about 60 to 70% alcohol? Is ethanol the only alcohol that works or does isopropyl alcohol work as well?Would that still be effective against this virus or might as well not even try?,Tue Mar 03 18:28:54 +0000 2020,0,2,2,23:56.3,query
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @lemonjellii Oops- you pretty much said this in the thread anyway?,Tue Mar 03 18:39:14 +0000 2020,0,3,3,23:56.3,query
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 @lemonjellii Hand sanitiser will work to an extent, but it should be an alcohol based one, not an anti bacterial gel one where the virus remains in gel. Effective hand washing, with hot water and soap, is better than hand sanitiser, washing off the virus, but hand sanitiser is better than 0.",Tue Mar 03 18:37:49 +0000 2020,0,3,3,23:56.3,comment
-8581905515798373581,Tue Mar 03 2020,"@hugefoodlover In those cases, soap and water is fine. But as far as I know alcohol hand gel isn't forbidden by the Qur'an, as long as you don't drink it.Alcohol hand gels kill bacteria AND viruses, like bleach.",Wed Mar 04 07:43:30 +0000 2020,0,20,20,23:56.3,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @RJMrgn Were they cosplaying as a scientist?,Tue Mar 03 11:47:15 +0000 2020,0,21,21,23:56.3,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 I wouldn't be surprised if the same person hasn't bought up all of the local stocks of sanitizer to sell on at five times the price on ebay.,Tue Mar 03 20:13:13 +0000 2020,0,1,1,23:58.8,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Nothing like confirmation bias.... People hear what they want to hear... thank you for your service Dr.,Tue Mar 03 09:55:41 +0000 2020,0,1,1,23:58.8,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Hand sanitizers are a moot point where I am- they are all sold out in every shop in Romford. A delivery arrived in one particular major store that morning only to be sold out by lunchtime. The panic buying is beginning #Covid_19,Tue Mar 03 18:09:09 +0000 2020,2,1,1,23:58.8,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Seriously thanks for pointing this out - I fell for the no sanitiser thing and luckily just found some at the back of a cupboard.,Tue Mar 03 21:21:37 +0000 2020,0,1,1,23:58.8,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 There is shortage of ethanol which is main ingredient in sanitizer.,Tue Mar 03 16:38:05 +0000 2020,1,1,1,23:58.8,support
-8581905515798373581,Tue Mar 03 2020,"@chrisccoulson @drphiliplee1 And I read single malt whisky should do it.My plan, I am over 80, vitamin D 4000 is, vitamin C  two grams, the Singleton, old Bowmore single malts, getting out in the fresh air. Wash your hands.",Tue Mar 03 21:44:34 +0000 2020,0,3,3,23:58.8,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 High five for the information - virtual of course,Tue Mar 03 10:00:31 +0000 2020,0,5,5,23:58.8,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Someone shared a post on to one of our local Facebook groups yesterday saying that drinking water is an effective defence because it washes the virus from your throat in to your stomach,Tue Mar 03 12:54:22 +0000 2020,0,0,0,23:58.8,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Thank you. I also saw that thread and believed it initially before I read on.,Tue Mar 03 13:13:46 +0000 2020,0,0,0,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Peoples mindset here is really starting to change. How about in London?  Curious about how people are feeling. Take the mini survey and please RT to share. Thanks!https://t.co/NA79yHyezR,Tue Mar 03 14:17:30 +0000 2020,0,0,0,24:02.2,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @JackWoolnoth She claims she was a scientist but didnt specify what field hence a lot of folks were skeptical. Thanks for clarifying!,Tue Mar 03 12:11:54 +0000 2020,0,0,0,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 @kingjobbie I learned a new word thanks to Twitter &amp; @drphiliplee1  ""Patently"".  I like it",Wed Mar 04 10:21:58 +0000 2020,0,1,1,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Thank you for the rectification...,Tue Mar 03 16:54:46 +0000 2020,0,0,0,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 I haven't seen or been able to find any hand sanitiser since this started. OK I was late starting, but now: nothing.",Tue Mar 03 14:03:29 +0000 2020,0,0,0,24:02.2,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Thanks for this x,Tue Mar 03 12:50:41 +0000 2020,0,0,0,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @DixieRose100 Vodka do it maybe?,Wed Mar 04 18:28:35 +0000 2020,0,1,1,24:02.2,support
-8581905515798373581,Tue Mar 03 2020,"@silverslideman @drphiliplee1 See someones post above about aloe vera gel, vodka, and tea tree oil.",Wed Mar 04 07:48:39 +0000 2020,0,0,0,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Undefined scientist,Tue Mar 03 11:26:14 +0000 2020,0,0,0,24:02.2,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 Very nice explanation - thank you!,Tue Mar 03 18:18:01 +0000 2020,0,0,0,24:04.8,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 CDC says washing with soap and water is fine for the general public.,Tue Mar 03 22:39:22 +0000 2020,0,0,0,24:04.8,support
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 Thank you for debunking it. I suspected it was untrue as I believe the WHO more than random people on Twitter, but I had no idea why. Sometimes you just have to trust that experts know what they are on about and do as they say.",Tue Mar 03 21:46:06 +0000 2020,0,0,0,24:04.9,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @aev1609 Recommend lemon cologne thats used in turkey!not one case here yet!,Tue Mar 03 21:13:59 +0000 2020,0,0,0,24:04.9,support
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 @RichardMelvin youre killing people,Wed Mar 04 01:22:27 +0000 2020,0,0,0,24:04.9,comment
-8581905515798373581,Tue Mar 03 2020,"@drphiliplee1 The hand gel that has been handed out at work contains 57.2% ethanol, it says so on the bottle. Does that make it useless?",Tue Mar 03 22:42:32 +0000 2020,0,0,0,24:04.9,comment
-8581905515798373581,Tue Mar 03 2020,@drphiliplee1 What about the 99% isopropyl alcohol I have for cleaning my 3D printers bed?,Tue Mar 03 22:22:42 +0000 2020,0,0,0,24:04.9,query
