Twitter ID,release date,comment,time,replies,retweets,likes,timestamp,stance
7692228251541041391,Mon Feb 03 2020,@OH_mes2 healthy first  https://t.co/K7EnyDy8WP,Mon Feb 03 08:31:58 +0000 2020,0,11,11,30:28.8,support
7692228251541041391,Mon Feb 03 2020,"@OH_mes2 Meanwhile, please let him have a schedule with other 9 members TOP Media...",Mon Feb 03 08:33:21 +0000 2020,2,10,10,30:28.8,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 oh nooo stay safe everyone https://t.co/9c4AdgNUfg,Mon Feb 03 08:31:59 +0000 2020,0,1,1,30:28.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 KEEP HIM SAFE PROTECT HIM https://t.co/ToefcIuB0T,Mon Feb 03 08:32:17 +0000 2020,0,2,2,30:28.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 good job top https://t.co/OSHZPuTkzI,Mon Feb 03 08:32:23 +0000 2020,0,3,3,30:28.8,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 top media when hes a bottom..... https://t.co/FXojSFOMYL,Mon Feb 03 08:32:46 +0000 2020,0,10,10,30:28.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 https://t.co/TicgAKyUTO,Mon Feb 03 08:32:16 +0000 2020,1,8,8,30:28.9,comment
7692228251541041391,Mon Feb 03 2020,@jihyostraps @OH_mes2 I HATE MY MIND THAT I UNDERSTAND THIS..?,Mon Feb 03 11:13:53 +0000 2020,0,1,1,30:28.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 GOOD  https://t.co/HEUCopubCo,Mon Feb 03 08:32:11 +0000 2020,0,1,1,30:28.9,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 Everyone Stay safe https://t.co/rRkcZZ6QXC,Mon Feb 03 08:31:53 +0000 2020,0,1,1,30:28.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 Good?,Mon Feb 03 08:32:03 +0000 2020,0,0,0,30:30.8,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 https://t.co/T4fRPiXvmX,Mon Feb 03 08:32:23 +0000 2020,0,0,0,30:30.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 stay safe  https://t.co/96NZY6u9cw,Mon Feb 03 08:32:27 +0000 2020,0,0,0,30:30.8,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 stay safe!,Mon Feb 03 08:32:07 +0000 2020,0,0,0,30:30.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 good job hun,Mon Feb 03 11:40:56 +0000 2020,0,1,1,30:30.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 Yah yahhh,Mon Feb 03 08:32:04 +0000 2020,0,0,0,30:30.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 top media did one good thing! thats incredible https://t.co/AOHaoouEZH,Mon Feb 03 08:39:44 +0000 2020,0,1,1,30:30.8,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 https://t.co/BWvPtDMZil,Mon Feb 03 08:31:57 +0000 2020,0,0,0,30:30.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 his safety first,Mon Feb 03 08:32:10 +0000 2020,0,0,0,30:30.8,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 oh thank god,Mon Feb 03 08:48:03 +0000 2020,0,1,1,30:30.8,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 good protect his health  https://t.co/86kyUEBMpj,Mon Feb 03 08:33:01 +0000 2020,0,0,0,30:33.9,support
7692228251541041391,Mon Feb 03 2020,"@OH_mes2 Oh, great, safety first",Mon Feb 03 08:33:56 +0000 2020,0,0,0,30:33.9,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 https://t.co/V0jwen4kNQ,Mon Feb 03 08:32:28 +0000 2020,0,0,0,30:33.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 stay safe everyone ?,Mon Feb 03 08:35:01 +0000 2020,0,0,0,30:33.9,support
7692228251541041391,Mon Feb 03 2020,@OH_mes2 :0https://t.co/jC3lUZ4dpT,Mon Feb 03 08:35:31 +0000 2020,0,0,0,30:33.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 up10tion kim wooseok legendhttps://t.co/96NZY6u9cw,Mon Feb 03 08:35:15 +0000 2020,0,0,0,30:33.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 oh no :(  https://t.co/g1iSDaL4qw,Mon Feb 03 08:33:43 +0000 2020,0,0,0,30:33.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 https://t.co/kiOgeeGztd,Mon Feb 03 08:32:33 +0000 2020,0,0,0,30:33.9,comment
7692228251541041391,Mon Feb 03 2020,@OH_mes2 good job topmed,Mon Feb 03 08:50:14 +0000 2020,0,0,0,30:36.6,support
